Package version:,2.1.7
Scenario:,forest
Connectivity:,global
Planner type:,random
Robot count:,3
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Distance (robot 2) [m], Map uncertainty (robot 2) [-], Distance (robot 3) [m], Map uncertainty (robot 3) [-], Navigation failures
17.581, 0.772456, 0.756111, 46.3697, 16.1126, 0.756597, 16.0344, 0.756319, 14.2226, 0.756597, 0
17.946, 0.7685, 0.7525, 47.5298, 16.4777, 0.751806, 16.432, 0.751528, 14.6202, 0.752361, 0
18.291, 0.764219, 0.74875, 48.5686, 16.847, 0.748056, 16.7648, 0.747917, 14.9568, 0.748611, 0
18.6603, 0.760289, 0.744028, 49.5668, 17.1797, 0.744653, 17.0975, 0.744514, 15.2895, 0.743889, 0
19.0337, 0.756292, 0.740486, 50.7965, 17.5775, 0.740486, 17.4993, 0.740139, 15.7197, 0.740139, 0
19.3949, 0.752131, 0.736597, 51.8354, 17.9468, 0.735417, 17.8321, 0.735139, 16.0565, 0.735417, 0
19.76, 0.748344, 0.731458, 52.8975, 18.312, 0.732083, 18.1638, 0.731458, 16.4217, 0.731736, 0
20.1291, 0.746642, 0.729861, 53.5951, 18.6445, 0.729514, 18.1638, 0.729514, 16.7868, 0.729514, 0
20.4739, 0.744986, 0.728403, 54.3658, 19.0461, 0.728194, 18.1638, 0.728403, 17.1559, 0.728194, 0
20.8148, 0.743225, 0.725833, 55.0639, 19.3465, 0.726181, 18.2612, 0.726181, 17.4562, 0.725833, 0
21.1883, 0.740594, 0.723681, 56.1641, 19.7118, 0.723681, 18.6306, 0.723333, 17.8216, 0.723403, 0
21.5331, 0.738003, 0.720694, 57.3647, 20.1134, 0.720694, 19.0282, 0.720625, 18.2232, 0.720903, 0
21.9064, 0.735408, 0.718194, 58.4318, 20.4786, 0.717847, 19.3649, 0.717847, 18.5883, 0.717847, 0
