Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,1
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Navigation failures
0.353498, 1, 1, 0, 0, 1, 0
0.71904, 1, 1, 0, 0, 1, 0
1.08041, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.44996, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.79106, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.1603, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.54621, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.93607, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.32198, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.69153, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.09364, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.45913, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.85312, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.24703, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.64114, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.9904, 0.964656, 0.943815, 0, 0, 0.943815, 0
6.37621, 0.93896, 0.935924, 0.716442, 0.716442, 0.934362, 0
6.71742, 0.924704, 0.927344, 1.25745, 1.25745, 0.921823, 0
7.09097, 0.924623, 0.917747, 1.91534, 1.91534, 0.917747, 0
7.49306, 0.924558, 0.917747, 2.58055, 2.58055, 0.917747, 0
7.83019, 0.92455, 0.917682, 3.05569, 3.05569, 0.917682, 0
8.17145, 0.920498, 0.916159, 3.64578, 3.64578, 0.916159, 0
8.54913, 0.910225, 0.907591, 4.30387, 4.30387, 0.90957, 0
8.93491, 0.902425, 0.898268, 4.96167, 4.96167, 0.898255, 0
9.33681, 0.90231, 0.898216, 5.68511, 5.68511, 0.898216, 0
9.71455, 0.902296, 0.898203, 6.2845, 6.2845, 0.898203, 0
10.0717, 0.902277, 0.89819, 6.94954, 6.94954, 0.898164, 0
10.4371, 0.902085, 0.898099, 7.65834, 7.65834, 0.898099, 0
10.8271, 0.902085, 0.898073, 8.19954, 8.19954, 0.898073, 0
11.2089, 0.902085, 0.897969, 8.74783, 8.74783, 0.897969, 0
11.5905, 0.902085, 0.897969, 9.46407, 9.46407, 0.897969, 0
11.9679, 0.901875, 0.897839, 10.0631, 10.0631, 0.897839, 0
12.3457, 0.901875, 0.897839, 10.7281, 10.7281, 0.897839, 0
12.715, 0.901875, 0.897839, 11.3858, 11.3858, 0.897839, 0
13.0764, 0.901875, 0.897839, 11.861, 11.861, 0.897839, 0
13.4378, 0.901875, 0.897839, 12.526, 12.526, 0.897839, 0
13.8113, 0.901867, 0.897826, 13.1253, 13.1253, 0.897826, 0
14.1971, 0.901858, 0.897826, 13.9075, 13.9075, 0.897826, 0
14.5787, 0.901856, 0.897826, 14.4409, 14.4409, 0.897826, 0
14.9563, 0.901856, 0.897826, 15.0401, 15.0401, 0.897826, 0
15.3257, 0.901856, 0.897826, 15.6979, 15.6979, 0.897826, 0
15.6624, 0.901856, 0.897826, 16.2966, 16.2966, 0.897826, 0
16.0318, 0.901848, 0.897813, 16.8957, 16.8957, 0.897813, 0
16.4418, 0.901844, 0.897813, 17.6191, 17.6191, 0.897813, 0
16.7911, 0.901844, 0.897799, 18.277, 18.277, 0.897799, 0
17.1443, 0.901844, 0.897799, 18.7403, 18.7403, 0.897799, 0
17.5302, 0.899006, 0.895378, 19.4388, 19.4388, 0.894766, 0
17.8914, 0.898744, 0.894479, 19.8552, 19.8552, 0.894479, 0
18.2651, 0.898473, 0.894388, 20.3906, 20.3906, 0.894297, 0
18.6631, 0.898473, 0.894271, 20.9973, 20.9973, 0.894271, 0
19.0609, 0.898469, 0.894258, 21.5306, 21.5306, 0.894258, 0
19.4183, 0.898458, 0.894258, 22.1076, 22.1076, 0.894258, 0
19.7959, 0.89791, 0.893333, 22.6679, 22.6679, 0.893333, 0
20.1574, 0.897902, 0.893333, 23.2088, 23.2088, 0.893333, 0
20.5187, 0.897896, 0.893307, 23.711, 23.711, 0.893307, 0
20.9045, 0.897896, 0.893307, 23.8865, 23.8865, 0.893307, 0
21.282, 0.897871, 0.893307, 24.3831, 24.3831, 0.893307, 0
21.6594, 0.897871, 0.893307, 24.9893, 24.9893, 0.893307, 0
22.0289, 0.897871, 0.893307, 25.6572, 25.6572, 0.893307, 0
22.3864, 0.897871, 0.893307, 26.1399, 26.1399, 0.893307, 0
22.76, 0.897871, 0.893307, 26.5711, 26.5711, 0.893307, 0
23.1579, 0.897871, 0.893307, 27.1191, 27.1191, 0.893307, 0
23.5314, 0.897871, 0.893307, 27.6045, 27.6045, 0.893307, 0
23.9249, 0.897871, 0.893307, 28.2086, 28.2086, 0.893307, 0
24.2943, 0.897871, 0.893307, 28.7418, 28.7418, 0.893307, 0
24.6922, 0.897869, 0.893307, 29.4214, 29.4214, 0.893307, 0
25.0536, 0.897869, 0.893307, 29.5968, 29.5968, 0.893307, 0
25.4434, 0.897869, 0.893307, 30.18, 30.18, 0.893307, 0
