Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,1
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Navigation failures
0.350141, 1, 1, 0, 0, 1, 0
0.752426, 1, 1, 0, 0, 1, 0
1.14233, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.51589, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.86925, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.21449, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.61628, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.96942, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.32268, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.68009, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.0457, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.39903, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.76463, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.14217, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.47929, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.81639, 0.964656, 0.943815, 0, 0, 0.943815, 0
6.15346, 0.964656, 0.943815, 0, 0, 0.943815, 0
6.50692, 0.964656, 0.943815, 0, 0, 0.943815, 0
6.84384, 0.945163, 0.94043, 0.41652, 0.41652, 0.935885, 0
7.21341, 0.932321, 0.928242, 1.08158, 1.08158, 0.925378, 0
7.55065, 0.917529, 0.914583, 1.79827, 1.79827, 0.913294, 0
7.92024, 0.910298, 0.907461, 2.33933, 2.33933, 0.906042, 0
8.26954, 0.905675, 0.900872, 2.99724, 2.99724, 0.900872, 0
8.61482, 0.901267, 0.897552, 3.72108, 3.72108, 0.895352, 0
8.99657, 0.894915, 0.891302, 4.37904, 4.37904, 0.890391, 0
9.37014, 0.888129, 0.881263, 4.97847, 4.97847, 0.879323, 0
9.7356, 0.876898, 0.871771, 5.63619, 5.63619, 0.871771, 0
10.1052, 0.867227, 0.861823, 6.30146, 6.30146, 0.859909, 0
10.4951, 0.851942, 0.850013, 7.01794, 7.01794, 0.843893, 0
10.832, 0.838052, 0.833984, 7.61715, 7.61715, 0.831745, 0
11.1732, 0.826742, 0.820716, 8.21657, 8.21657, 0.820716, 0
