Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,1
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Navigation failures
0.361464, 1, 1, 0, 0, 1, 0
0.7636, 1, 1, 0, 0, 1, 0
1.10902, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.45441, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.86486, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.26697, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.65263, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.03025, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.39961, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.79293, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.15804, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.5479, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.92968, 0.946392, 0.93901, 0.233955, 0.233955, 0.93681, 0
5.30324, 0.933948, 0.933216, 0.957376, 0.957376, 0.93043, 0
5.69298, 0.912979, 0.911758, 1.64499, 1.64499, 0.911758, 0
6.07044, 0.911062, 0.907266, 2.2439, 2.2439, 0.907227, 0
6.46426, 0.911006, 0.907161, 2.9602, 2.9602, 0.907148, 0
6.82121, 0.910998, 0.907148, 3.20123, 3.20123, 0.907148, 0
7.18659, 0.910998, 0.907148, 3.20123, 3.20123, 0.907148, 0
7.54791, 0.910996, 0.907148, 3.50085, 3.50085, 0.907148, 0
7.92956, 0.910987, 0.907109, 4.15841, 4.15841, 0.907109, 0
8.3276, 0.910806, 0.907096, 4.84276, 4.84276, 0.907096, 0
8.70938, 0.910733, 0.907018, 5.55917, 5.55917, 0.907005, 0
9.0626, 0.910727, 0.907005, 6.22419, 6.22419, 0.907005, 0
9.42406, 0.910727, 0.907005, 6.64092, 6.64092, 0.907005, 0
9.76518, 0.9107, 0.906966, 7.06438, 7.06438, 0.906966, 0
10.1307, 0.91064, 0.90694, 7.66217, 7.66217, 0.906875, 0
10.4758, 0.909604, 0.906784, 8.39573, 8.39573, 0.906784, 0
10.8615, 0.909604, 0.906771, 9.05353, 9.05353, 0.906771, 0
11.2554, 0.909604, 0.906771, 9.59447, 9.59447, 0.906771, 0
11.6371, 0.909604, 0.906771, 10.1354, 10.1354, 0.906771, 0
12.035, 0.909602, 0.906771, 10.7931, 10.7931, 0.906771, 0
12.4128, 0.909602, 0.906706, 11.2874, 11.2874, 0.906706, 0
12.8025, 0.909602, 0.906706, 12.0037, 12.0037, 0.906706, 0
13.1843, 0.909602, 0.906706, 12.6031, 12.6031, 0.906706, 0
13.5497, 0.909602, 0.906706, 12.6031, 12.6031, 0.906706, 0
13.9354, 0.909602, 0.906706, 13.0855, 13.0855, 0.906706, 0
14.3252, 0.909579, 0.906706, 13.8091, 13.8091, 0.906706, 0
14.7151, 0.909573, 0.906693, 14.344, 14.344, 0.906693, 0
15.1131, 0.909571, 0.90668, 15.0677, 15.0677, 0.90668, 0
15.4949, 0.909571, 0.90668, 15.6014, 15.6014, 0.90668, 0
15.8686, 0.909571, 0.90668, 15.6014, 15.6014, 0.90668, 0
16.2136, 0.909571, 0.90668, 16.0762, 16.0762, 0.90668, 0
16.5666, 0.909567, 0.90668, 16.5622, 16.5622, 0.90668, 0
