Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,1
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Navigation failures
0.365641, 1, 1, 0, 0, 1, 0
0.763647, 1, 1, 0, 0, 1, 0
1.14137, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.47841, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.86429, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.25839, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.59545, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.98512, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.32622, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.70791, 0.948769, 0.941471, 0.299682, 0.299682, 0.936784, 1
4.08548, 0.93371, 0.930677, 1.01594, 1.01594, 0.92832, 1
4.4672, 0.917602, 0.914479, 1.79793, 1.79793, 0.91319, 1
4.85315, 0.909967, 0.905951, 2.39754, 2.39754, 0.904622, 1
5.23085, 0.904992, 0.899622, 3.17991, 3.17991, 0.899622, 1
5.60445, 0.899321, 0.89625, 3.77919, 3.77919, 0.895182, 1
5.96594, 0.894627, 0.889935, 4.3787, 4.3787, 0.888086, 1
6.32739, 0.886387, 0.881159, 5.15369, 5.15369, 0.877357, 1
6.74131, 0.875381, 0.870417, 5.75983, 5.75983, 0.867734, 1
7.11492, 0.865062, 0.861211, 6.47614, 6.47614, 0.859557, 1
7.50455, 0.8482, 0.843698, 7.1995, 7.1995, 0.843698, 1
7.88223, 0.833346, 0.828815, 7.85732, 7.85732, 0.828815, 1
8.24777, 0.823748, 0.815625, 8.51518, 8.51518, 0.81681, 1
8.63774, 0.817438, 0.809648, 9.17334, 9.17334, 0.809648, 1
9.00746, 0.807665, 0.801849, 9.8973, 9.8973, 0.795781, 1
9.35675, 0.78429, 0.778438, 10.4968, 10.4968, 0.778438, 1
9.72233, 0.769998, 0.762695, 11.1549, 11.1549, 0.761341, 1
10.0797, 0.763419, 0.756693, 11.82, 11.82, 0.755664, 1
10.4493, 0.758292, 0.75, 12.4781, 12.4781, 0.749505, 1
10.7906, 0.754685, 0.74599, 13.1948, 13.1948, 0.745091, 1
11.1399, 0.751115, 0.74237, 13.7356, 13.7356, 0.74237, 1
11.4893, 0.748387, 0.739518, 14.3353, 14.3353, 0.738073, 1
11.8385, 0.745215, 0.736328, 15.0005, 15.0005, 0.735768, 1
12.204, 0.742463, 0.73319, 15.717, 15.717, 0.732812, 1
12.5734, 0.739146, 0.729115, 16.316, 16.316, 0.729115, 1
12.9141, 0.734531, 0.725117, 16.9149, 16.9149, 0.724141, 1
13.2918, 0.730729, 0.721068, 17.5799, 17.5799, 0.720391, 1
13.6533, 0.726077, 0.716367, 18.238, 18.238, 0.715143, 1
14.0067, 0.722285, 0.712656, 18.8959, 18.8959, 0.712656, 1
14.3479, 0.717771, 0.708841, 19.4956, 19.4956, 0.708841, 1
14.7012, 0.709206, 0.700768, 20.1534, 20.1534, 0.698698, 1
15.0383, 0.693588, 0.685885, 20.7601, 20.7601, 0.685885, 1
15.3997, 0.679694, 0.668646, 21.4765, 21.4765, 0.668646, 1
15.7489, 0.67176, 0.662539, 22.0173, 22.0173, 0.661823, 1
16.1307, 0.670298, 0.660742, 22.7338, 22.7338, 0.660521, 1
16.5124, 0.669546, 0.659922, 23.3989, 23.3989, 0.659831, 1
16.9062, 0.669335, 0.659674, 24.1151, 24.1151, 0.659674, 1
17.3002, 0.669196, 0.659544, 24.7803, 24.7803, 0.659544, 1
17.6374, 0.669129, 0.659505, 25.4385, 25.4385, 0.659505, 1
18.0152, 0.66906, 0.659492, 25.9795, 25.9795, 0.659492, 1
18.3523, 0.669021, 0.659414, 26.5862, 26.5862, 0.659414, 1
18.7299, 0.669021, 0.659414, 27.1197, 27.1197, 0.659414, 1
19.0711, 0.669021, 0.659414, 27.7192, 27.7192, 0.659414, 1
19.4566, 0.669021, 0.659414, 28.4425, 28.4425, 0.659414, 1
19.7935, 0.668952, 0.659414, 29.0415, 29.0415, 0.659414, 1
20.1347, 0.66894, 0.659414, 29.6995, 29.6995, 0.659414, 1
20.5206, 0.66889, 0.659414, 30.3648, 30.3648, 0.659414, 1
20.8737, 0.668565, 0.659115, 31.0225, 31.0225, 0.659115, 1
21.223, 0.668525, 0.659036, 31.7461, 31.7461, 0.659036, 1
21.5926, 0.66839, 0.659023, 32.3456, 32.3456, 0.658919, 1
21.9785, 0.668296, 0.658841, 33.0037, 33.0037, 0.658841, 1
22.3198, 0.668296, 0.658841, 33.7204, 33.7204, 0.658841, 1
22.7138, 0.668219, 0.658828, 34.32, 34.32, 0.65875, 1
