Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,1
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Navigation failures
0.337133, 1, 1, 0, 0, 1, 0
0.674291, 1, 1, 0, 0, 1, 0
1.05597, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.43777, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.8316, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.22551, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.56255, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.92399, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.30577, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.69553, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.07713, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.41814, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.7631, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.11629, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.48174, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.83512, 0.964656, 0.943815, 0, 0, 0.943815, 0
6.20045, 0.964656, 0.943815, 0, 0, 0.943815, 0
6.59829, 0.964656, 0.943815, 0, 0, 0.943815, 0
6.9475, 0.964656, 0.943815, 0, 0, 0.943815, 0
7.29651, 0.964656, 0.943815, 0, 0, 0.943815, 0
7.67001, 0.964656, 0.943815, 0, 0, 0.943815, 0
8.01911, 0.964656, 0.943815, 0, 0, 0.943815, 0
8.40062, 0.964656, 0.943815, 0, 0, 0.943815, 0
8.77812, 0.964656, 0.943815, 0, 0, 0.943815, 0
9.16757, 0.946679, 0.941471, 0.299534, 0.299534, 0.93875, 0
9.50852, 0.934667, 0.93125, 0.964204, 0.964204, 0.93125, 0
9.88206, 0.918465, 0.916159, 1.622, 1.622, 0.912943, 0
10.2475, 0.910892, 0.907448, 2.27979, 2.27979, 0.907448, 0
10.6008, 0.906354, 0.901628, 3.00341, 3.00341, 0.900404, 0
10.9661, 0.901621, 0.897513, 3.54409, 3.54409, 0.896536, 0
11.3072, 0.896062, 0.892435, 4.14345, 4.14345, 0.891419, 0
11.6809, 0.88895, 0.885312, 4.8599, 4.8599, 0.883073, 0
12.0828, 0.877629, 0.870755, 5.58343, 5.58343, 0.870755, 0
12.4279, 0.868877, 0.862383, 6.18257, 6.18257, 0.862383, 0
12.7648, 0.85634, 0.853086, 6.78175, 6.78175, 0.850117, 0
13.1139, 0.841631, 0.838216, 7.43929, 7.43929, 0.835521, 0
13.4631, 0.828654, 0.823763, 8.10454, 8.10454, 0.820339, 0
13.8124, 0.821833, 0.814779, 8.76233, 8.76233, 0.813503, 0
14.1901, 0.815288, 0.809245, 9.4788, 9.4788, 0.807539, 0
14.5392, 0.802035, 0.799661, 10.0195, 10.0195, 0.795964, 0
14.929, 0.777133, 0.775299, 10.7431, 10.7431, 0.772057, 0
15.2659, 0.768029, 0.761302, 11.4007, 11.4007, 0.760208, 0
15.6434, 0.761646, 0.753919, 12.0654, 12.0654, 0.752539, 0
16.0252, 0.756777, 0.74931, 12.7819, 12.7819, 0.748698, 0
16.403, 0.752975, 0.743672, 13.4401, 13.4401, 0.743672, 0
16.7442, 0.74999, 0.740781, 13.9811, 13.9811, 0.740013, 0
17.1179, 0.746629, 0.737878, 14.6391, 14.6391, 0.737227, 0
17.5075, 0.743315, 0.734648, 15.3625, 15.3625, 0.733945, 0
17.8445, 0.74056, 0.730872, 16.0202, 16.0202, 0.730872, 0
18.2261, 0.735998, 0.725573, 16.6194, 16.6194, 0.725573, 0
18.5633, 0.732842, 0.723216, 17.2191, 17.2191, 0.722396, 0
18.9288, 0.728723, 0.718242, 17.8842, 17.8842, 0.718242, 0
19.2901, 0.724237, 0.71526, 18.5419, 18.5419, 0.714154, 0
19.6679, 0.719842, 0.712174, 19.2584, 19.2584, 0.710898, 0
