Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,1
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Navigation failures
0.349811, 1, 1, 0, 0, 1, 0
0.747899, 1, 1, 0, 0, 1, 0
1.09303, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.44646, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.8039, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.18575, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.55145, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.90488, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.26645, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.6362, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.01408, 0.941119, 0.935898, 0.599674, 0.599674, 0.934362, 0
4.3635, 0.926708, 0.92388, 1.26525, 1.26525, 0.92388, 0
4.70459, 0.916094, 0.911328, 1.92311, 1.92311, 0.910482, 0
5.05797, 0.90906, 0.905091, 2.52257, 2.52257, 0.902982, 0
5.45171, 0.904458, 0.899583, 3.30451, 3.30451, 0.899583, 0
5.84959, 0.898502, 0.894883, 3.90372, 3.90372, 0.893385, 0
6.23537, 0.892054, 0.887839, 4.61998, 4.61998, 0.886927, 0
6.63336, 0.882225, 0.878034, 5.34371, 5.34371, 0.875417, 0
7.01093, 0.871104, 0.867018, 6.0015, 6.0015, 0.863138, 0
7.3887, 0.860944, 0.858516, 6.65961, 6.65961, 0.850938, 0
7.74199, 0.844794, 0.841042, 7.32458, 7.32458, 0.837734, 0
8.13196, 0.829746, 0.823828, 8.04113, 8.04113, 0.823828, 0
8.49778, 0.821983, 0.815508, 8.69962, 8.69962, 0.813802, 0
8.87549, 0.815675, 0.806406, 9.48197, 9.48197, 0.806406, 0
9.24099, 0.802202, 0.800846, 10.0228, 10.0228, 0.797331, 0
9.62291, 0.778929, 0.775091, 10.8053, 10.8053, 0.768034, 0
9.97622, 0.768208, 0.761315, 11.3463, 11.3463, 0.758411, 0
10.3458, 0.761746, 0.754753, 12.0042, 12.0042, 0.753685, 0
10.7155, 0.757127, 0.748919, 12.7793, 12.7793, 0.747188, 0
11.0607, 0.753456, 0.74388, 13.3203, 13.3203, 0.74388, 0
11.4059, 0.750419, 0.741016, 13.9198, 13.9198, 0.740469, 0
11.7674, 0.746919, 0.738073, 14.585, 14.585, 0.737565, 0
12.1613, 0.743962, 0.734388, 15.3013, 15.3013, 0.734388, 0
12.5225, 0.740669, 0.731888, 15.9663, 15.9663, 0.731289, 0
12.888, 0.736908, 0.728294, 16.624, 16.624, 0.72707, 0
13.2781, 0.732504, 0.722227, 17.3993, 17.3993, 0.722227, 0
13.6435, 0.728083, 0.718099, 17.9401, 17.9401, 0.718099, 0
13.993, 0.724346, 0.714036, 18.6057, 18.6057, 0.714036, 0
14.3384, 0.7206, 0.711745, 19.2055, 19.2055, 0.711289, 0
14.6957, 0.712183, 0.705469, 19.8632, 19.8632, 0.70375, 0
15.049, 0.700937, 0.689714, 20.5796, 20.5796, 0.689714, 0
15.3943, 0.685552, 0.680508, 21.1207, 21.1207, 0.677383, 0
15.7883, 0.673054, 0.662878, 21.8445, 21.8445, 0.662031, 0
16.1821, 0.670519, 0.660729, 22.5608, 22.5608, 0.660729, 0
16.5354, 0.66965, 0.660052, 23.1602, 23.1602, 0.659974, 0
16.8968, 0.669427, 0.659687, 23.8252, 23.8252, 0.659687, 0
17.2503, 0.669252, 0.659544, 24.4835, 24.4835, 0.659544, 0
17.624, 0.669133, 0.65944, 25.1415, 25.1415, 0.65944, 0
18.018, 0.669077, 0.659414, 25.7994, 25.7994, 0.659375, 0
18.4078, 0.669077, 0.659375, 26.5815, 26.5815, 0.659375, 0
18.7612, 0.669075, 0.659375, 27.1227, 27.1227, 0.659375, 0
19.1467, 0.669075, 0.659375, 27.9043, 27.9043, 0.659375, 0
19.4837, 0.669075, 0.659375, 28.4453, 28.4453, 0.659375, 0
19.8411, 0.669019, 0.659349, 29.103, 29.103, 0.659349, 0
20.2266, 0.669008, 0.659349, 29.7678, 29.7678, 0.659349, 0
20.572, 0.668948, 0.659336, 30.3675, 30.3675, 0.65931, 0
20.9415, 0.668679, 0.658984, 31.0253, 31.0253, 0.658984, 0
21.3274, 0.668648, 0.658932, 31.7418, 31.7418, 0.658932, 0
21.6809, 0.668613, 0.658919, 32.4073, 32.4073, 0.658919, 0
22.0586, 0.668606, 0.658893, 33.0653, 33.0653, 0.658893, 0
22.4201, 0.668606, 0.658893, 33.7235, 33.7235, 0.658893, 0
22.7978, 0.668538, 0.658893, 34.3812, 34.3812, 0.658893, 0
23.1512, 0.66845, 0.658724, 35.105, 35.105, 0.658724, 0
23.4884, 0.668371, 0.658724, 35.6461, 35.6461, 0.658633, 0
23.8337, 0.668321, 0.658529, 36.2458, 36.2458, 0.658529, 0
24.1748, 0.66825, 0.658203, 36.9623, 36.9623, 0.658203, 0
24.52, 0.66825, 0.658203, 37.5031, 37.5031, 0.658203, 0
24.9017, 0.66825, 0.658203, 38.2852, 38.2852, 0.658203, 0
25.2511, 0.66825, 0.658203, 38.885, 38.885, 0.658203, 0
25.6409, 0.66825, 0.658203, 39.4844, 39.4844, 0.658203, 0
25.9816, 0.668244, 0.658203, 40.1414, 40.1414, 0.658203, 0
26.3225, 0.666779, 0.657148, 40.7477, 40.7477, 0.657005, 0
26.6636, 0.664715, 0.654818, 41.4055, 41.4055, 0.654687, 0
27.0168, 0.664367, 0.65418, 42.0047, 42.0047, 0.65418, 0
27.4107, 0.664329, 0.65401, 42.7868, 42.7868, 0.65401, 0
27.7965, 0.664319, 0.65401, 43.3861, 43.3861, 0.65401, 0
28.1375, 0.664312, 0.65401, 43.9853, 43.9853, 0.65401, 0
28.4868, 0.664275, 0.653971, 44.7018, 44.7018, 0.653971, 0
28.8727, 0.664248, 0.653971, 45.3014, 45.3014, 0.653971, 0
29.2137, 0.664229, 0.653906, 46.0251, 46.0251, 0.653906, 0
29.5508, 0.664204, 0.653906, 46.6243, 46.6243, 0.653906, 0
29.9042, 0.664198, 0.653906, 47.1654, 47.1654, 0.653906, 0
30.2942, 0.664175, 0.653906, 47.882, 47.882, 0.653841, 0
30.6434, 0.664171, 0.653828, 48.4814, 48.4814, 0.653828, 0
30.9967, 0.664169, 0.653828, 49.1466, 49.1466, 0.653828, 0
31.3419, 0.6637, 0.653828, 49.8533, 49.8533, 0.652461, 0
31.7195, 0.658458, 0.648919, 50.4087, 50.4087, 0.648919, 0
32.0687, 0.657288, 0.646589, 50.4087, 50.4087, 0.646589, 0
32.4179, 0.657288, 0.646589, 50.4087, 50.4087, 0.646589, 0
32.8035, 0.657288, 0.646589, 50.4087, 50.4087, 0.646589, 0
33.1608, 0.657288, 0.646589, 50.4087, 50.4087, 0.646589, 0
33.5059, 0.657288, 0.646589, 50.4087, 50.4087, 0.646589, 0
33.8874, 0.657288, 0.646589, 50.4087, 50.4087, 0.646589, 0
34.2775, 0.657288, 0.646589, 50.4087, 50.4087, 0.646589, 0
34.631, 0.657288, 0.646589, 50.4087, 50.4087, 0.646589, 0
34.9763, 0.657288, 0.646589, 50.4087, 50.4087, 0.646589, 0
