Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,1
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Navigation failures
0.357743, 1, 1, 0, 0, 1, 0
0.723327, 1, 1, 0, 0, 1, 0
1.1052, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.45851, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.82793, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.16496, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.53028, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.9079, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.27755, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.62664, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.97586, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.3129, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.71082, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.05599, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.44608, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.81138, 0.964656, 0.943815, 0, 0, 0.943815, 0
6.19691, 0.94861, 0.943815, 0.423495, 0.423495, 0.936628, 0
6.57442, 0.936854, 0.93056, 0.95663, 0.95663, 0.929544, 0
6.91556, 0.921752, 0.917578, 1.43904, 1.43904, 0.914974, 0
7.28103, 0.912683, 0.909388, 1.97271, 1.97271, 0.908424, 0
7.67096, 0.906321, 0.901953, 2.63778, 2.63778, 0.900443, 0
8.04861, 0.901015, 0.89776, 3.35364, 3.35364, 0.895273, 0
8.43438, 0.898144, 0.894362, 3.7116, 3.7116, 0.893542, 0
8.82018, 0.897581, 0.893529, 4.3695, 4.3695, 0.893529, 0
9.1981, 0.895587, 0.892669, 5.18448, 5.18448, 0.891732, 0
9.57993, 0.891498, 0.886901, 5.48434, 5.48434, 0.886901, 0
9.94952, 0.891498, 0.886901, 5.48434, 5.48434, 0.886901, 0
10.3231, 0.891498, 0.886901, 5.48434, 5.48434, 0.886901, 0
10.7007, 0.891498, 0.886901, 5.48434, 5.48434, 0.886901, 0
11.0825, 0.891498, 0.886901, 5.48434, 5.48434, 0.886901, 0
11.4441, 0.891498, 0.886901, 5.48434, 5.48434, 0.886901, 0
11.8096, 0.891498, 0.886901, 5.48434, 5.48434, 0.886901, 0
12.1752, 0.891498, 0.886901, 5.48434, 5.48434, 0.886901, 0
12.5527, 0.891498, 0.886901, 5.48434, 5.48434, 0.886901, 0
12.926, 0.891383, 0.886823, 6.14365, 6.14365, 0.886823, 0
13.2953, 0.890763, 0.886367, 6.80826, 6.80826, 0.886224, 0
13.6931, 0.888633, 0.88457, 7.5242, 7.5242, 0.88401, 0
14.083, 0.883933, 0.880807, 8.24792, 8.24792, 0.879036, 0
14.4728, 0.876965, 0.872344, 8.96427, 8.96427, 0.870924, 0
14.8587, 0.870458, 0.865794, 9.6294, 9.6294, 0.864271, 0
15.2606, 0.863637, 0.858698, 10.3458, 10.3458, 0.857318, 0
15.6503, 0.852535, 0.848203, 11.0691, 11.0691, 0.845794, 0
16.0402, 0.840233, 0.835, 11.7855, 11.7855, 0.832161, 0
16.4015, 0.830642, 0.824727, 12.4433, 12.4433, 0.823021, 0
16.7671, 0.822058, 0.815273, 13.167, 13.167, 0.812956, 0
17.1164, 0.814058, 0.807747, 13.8249, 13.8249, 0.806641, 0
17.4779, 0.795873, 0.791693, 14.3661, 14.3661, 0.779245, 0
17.8272, 0.767996, 0.760221, 15.0898, 15.0898, 0.757773, 0
18.1644, 0.759938, 0.752148, 15.6895, 15.6895, 0.750846, 0
18.5135, 0.75391, 0.745052, 16.2301, 16.2301, 0.744323, 0
18.883, 0.749946, 0.740247, 16.8879, 16.8879, 0.740247, 0
19.2445, 0.746508, 0.737448, 17.5459, 17.5459, 0.736888, 0
19.6182, 0.743304, 0.733372, 18.2039, 18.2039, 0.732448, 0
19.9633, 0.74085, 0.731003, 18.9276, 18.9276, 0.730221, 0
20.3127, 0.737579, 0.727682, 19.4686, 19.4686, 0.727096, 0
20.6617, 0.733973, 0.723984, 20.1262, 20.1262, 0.723984, 0
21.0272, 0.730373, 0.719935, 20.8498, 20.8498, 0.719375, 0
21.3765, 0.726983, 0.715495, 21.4494, 21.4494, 0.715495, 0
21.7461, 0.722658, 0.712422, 22.0488, 22.0488, 0.712422, 0
22.0872, 0.719306, 0.709141, 22.6482, 22.6482, 0.709141, 0
22.4403, 0.716588, 0.706732, 23.3058, 23.3058, 0.706732, 0
22.7853, 0.709331, 0.700078, 24.029, 24.029, 0.700078, 0
23.1468, 0.696702, 0.688372, 24.57, 24.57, 0.688372, 0
23.5083, 0.677885, 0.66875, 25.228, 25.228, 0.665951, 0
23.9022, 0.667604, 0.656927, 25.9445, 25.9445, 0.656927, 0
24.2515, 0.665294, 0.654974, 26.5439, 26.5439, 0.65474, 0
24.5965, 0.664533, 0.654271, 27.2673, 27.2673, 0.654062, 0
24.9823, 0.664169, 0.653919, 27.9836, 27.9836, 0.65388, 0
25.3234, 0.664033, 0.65375, 28.5903, 28.5903, 0.653711, 0
25.693, 0.663923, 0.653646, 29.2482, 29.2482, 0.653646, 0
26.0582, 0.663833, 0.653607, 29.7888, 29.7888, 0.653607, 0
26.4156, 0.663804, 0.653555, 30.2054, 30.2054, 0.653555, 0
26.8056, 0.663804, 0.653555, 30.805, 30.805, 0.653555, 0
27.1427, 0.6638, 0.653555, 31.4117, 31.4117, 0.653542, 0
27.5282, 0.6638, 0.653542, 32.1277, 32.1277, 0.653542, 0
27.9138, 0.6638, 0.653542, 32.9095, 32.9095, 0.653477, 0
28.3034, 0.663783, 0.653477, 33.5085, 33.5085, 0.653477, 0
28.6404, 0.663771, 0.653464, 34.1077, 34.1077, 0.653464, 0
29.0059, 0.66374, 0.653424, 34.7656, 34.7656, 0.653411, 0
29.3429, 0.663735, 0.653398, 35.3722, 35.3722, 0.653398, 0
29.6881, 0.663719, 0.653385, 35.9717, 35.9717, 0.653385, 0
30.0739, 0.663671, 0.653372, 36.6879, 36.6879, 0.653372, 0
30.4231, 0.663535, 0.653281, 37.4114, 37.4114, 0.653281, 0
30.7763, 0.663515, 0.653281, 37.9522, 37.9522, 0.653281, 0
31.1215, 0.66351, 0.653281, 38.6687, 38.6687, 0.653281, 0
31.4627, 0.663488, 0.653216, 39.2097, 39.2097, 0.653216, 0
31.8363, 0.663488, 0.653177, 39.8676, 39.8676, 0.653177, 0
32.1778, 0.663473, 0.653177, 40.4676, 40.4676, 0.653164, 0
32.5311, 0.663473, 0.653164, 41.1255, 41.1255, 0.653164, 0
32.8925, 0.663473, 0.653164, 41.8492, 41.8492, 0.653164, 0
33.2336, 0.663473, 0.653164, 42.3901, 42.3901, 0.653164, 0
33.6316, 0.663473, 0.653164, 43.1064, 43.1064, 0.653164, 0
34.0053, 0.663319, 0.653164, 43.7717, 43.7717, 0.653151, 0
34.3627, 0.663292, 0.653125, 44.4296, 44.4296, 0.653125, 0
34.7119, 0.663277, 0.653125, 45.029, 45.029, 0.653125, 0
35.1057, 0.663265, 0.653125, 45.7454, 45.7454, 0.653125, 0
35.4508, 0.662854, 0.653099, 46.4687, 46.4687, 0.652643, 0
35.8161, 0.662094, 0.651979, 47.0094, 47.0094, 0.651979, 0
36.1653, 0.661498, 0.651445, 47.6671, 47.6671, 0.651315, 0
36.5592, 0.661229, 0.651146, 48.4492, 48.4492, 0.650885, 0
36.9409, 0.659685, 0.650456, 49.0436, 49.0436, 0.646784, 0
37.2902, 0.657212, 0.645443, 49.1605, 49.1605, 0.645443, 0
37.6476, 0.657212, 0.645443, 49.1605, 49.1605, 0.645443, 0
38.0009, 0.657212, 0.645443, 49.1605, 49.1605, 0.645443, 0
38.3705, 0.657212, 0.645443, 49.1605, 49.1605, 0.645443, 0
38.7075, 0.657212, 0.645443, 49.1605, 49.1605, 0.645443, 0
39.0527, 0.657212, 0.645443, 49.1605, 49.1605, 0.645443, 0
39.4385, 0.657212, 0.645443, 49.1605, 49.1605, 0.645443, 0
39.8365, 0.657212, 0.645443, 49.1605, 49.1605, 0.645443, 0
40.202, 0.657212, 0.645443, 49.1605, 49.1605, 0.645443, 0
40.5754, 0.656565, 0.645286, 49.7011, 49.7011, 0.645286, 0
40.9326, 0.656556, 0.645273, 50.3582, 50.3582, 0.645273, 0
41.2737, 0.656548, 0.645234, 50.9576, 50.9576, 0.645234, 0
41.639, 0.656546, 0.645234, 51.6153, 51.6153, 0.645234, 0
41.9842, 0.656546, 0.645234, 52.222, 52.222, 0.645234, 0
42.378, 0.656523, 0.645221, 52.9381, 52.9381, 0.645221, 0
42.719, 0.656452, 0.645156, 53.0077, 53.0077, 0.645156, 0
43.056, 0.656452, 0.645156, 53.0077, 53.0077, 0.645156, 0
43.401, 0.655798, 0.645013, 53.5481, 53.5481, 0.644206, 0
43.7989, 0.652373, 0.640326, 54.0907, 54.0907, 0.640326, 0
44.1643, 0.652373, 0.640326, 54.0907, 54.0907, 0.640326, 0
44.5257, 0.652373, 0.640326, 54.0907, 54.0907, 0.640326, 0
44.8791, 0.652373, 0.640326, 54.0907, 54.0907, 0.640326, 0
45.2487, 0.652373, 0.640326, 54.0907, 54.0907, 0.640326, 0
45.6343, 0.652373, 0.640326, 54.0907, 54.0907, 0.640326, 0
45.9915, 0.652373, 0.640326, 54.0907, 54.0907, 0.640326, 0
46.3446, 0.652373, 0.640326, 54.0907, 54.0907, 0.640326, 0
46.6938, 0.652373, 0.640326, 54.0907, 54.0907, 0.640326, 0
47.0511, 0.65204, 0.640326, 54.2077, 54.2077, 0.64, 0
47.4003, 0.651435, 0.639844, 54.8725, 54.8725, 0.639766, 0
47.7413, 0.65095, 0.639336, 55.4652, 55.4652, 0.639336, 0
48.0784, 0.65095, 0.639336, 56.0646, 56.0646, 0.639336, 0
48.4558, 0.65095, 0.639336, 56.722, 56.722, 0.639336, 0
48.8374, 0.65095, 0.639336, 57.4455, 57.4455, 0.639336, 0
49.1867, 0.65095, 0.639336, 58.1033, 58.1033, 0.639336, 0
49.5276, 0.65095, 0.639336, 58.7025, 58.7025, 0.639336, 0
49.8684, 0.65095, 0.639336, 59.3014, 59.3014, 0.639336, 0
50.2541, 0.65095, 0.639336, 60.0832, 60.0832, 0.639336, 0
50.6358, 0.650927, 0.639336, 60.6824, 60.6824, 0.639336, 0
51.0174, 0.650921, 0.639336, 61.4643, 61.4643, 0.639336, 0
51.387, 0.650896, 0.639297, 62.0639, 62.0639, 0.639297, 0
51.7322, 0.650896, 0.639297, 62.7219, 62.7219, 0.639297, 0
52.0815, 0.65085, 0.639232, 63.2583, 63.2583, 0.639232, 0
52.4268, 0.650825, 0.63918, 63.441, 63.441, 0.63918, 0
52.7924, 0.650825, 0.63918, 63.441, 63.441, 0.63918, 0
53.1782, 0.650825, 0.63918, 63.441, 63.441, 0.63918, 0
53.5561, 0.650825, 0.63918, 63.441, 63.441, 0.63918, 0
53.9461, 0.650825, 0.63918, 63.441, 63.441, 0.63918, 0
54.324, 0.650825, 0.63918, 63.441, 63.441, 0.63918, 0
54.7016, 0.650825, 0.63918, 63.441, 63.441, 0.63918, 0
55.0631, 0.650825, 0.63918, 63.441, 63.441, 0.63918, 0
55.4488, 0.650825, 0.63918, 63.7991, 63.7991, 0.63918, 0
55.7858, 0.650825, 0.63918, 64.2814, 64.2814, 0.63918, 0
56.1634, 0.650825, 0.63918, 65.005, 65.005, 0.63918, 0
56.5007, 0.650696, 0.639089, 65.6047, 65.6047, 0.639089, 0
56.8542, 0.64964, 0.638047, 66.3215, 66.3215, 0.637852, 0
57.1952, 0.648471, 0.636693, 66.8037, 66.8037, 0.636693, 0
57.585, 0.648367, 0.636563, 66.8037, 66.8037, 0.636563, 0
57.9505, 0.648367, 0.636563, 66.8037, 66.8037, 0.636563, 0
58.3242, 0.648367, 0.636563, 66.8037, 66.8037, 0.636563, 0
58.6937, 0.648367, 0.636563, 66.8037, 66.8037, 0.636563, 0
59.0429, 0.648367, 0.636563, 66.8037, 66.8037, 0.636563, 0
59.4165, 0.648367, 0.636563, 66.8037, 66.8037, 0.636563, 0
59.7819, 0.648367, 0.636563, 66.8037, 66.8037, 0.636563, 0
60.1313, 0.648367, 0.636563, 66.8037, 66.8037, 0.636563, 0
60.5211, 0.648367, 0.636563, 66.8037, 66.8037, 0.636458, 0
60.8986, 0.6481, 0.63638, 67.5432, 67.5432, 0.63638, 0
61.2357, 0.648052, 0.636367, 68.1426, 68.1426, 0.63638, 0
61.6215, 0.648002, 0.636367, 68.8662, 68.8662, 0.636367, 0
61.9667, 0.648002, 0.636367, 69.4656, 69.4656, 0.636367, 0
62.3077, 0.648002, 0.636367, 70.0647, 70.0647, 0.636367, 0
62.649, 0.648002, 0.636367, 70.6645, 70.6645, 0.636367, 0
63.043, 0.647998, 0.636367, 71.3883, 71.3883, 0.636367, 0
63.4287, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
63.8187, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
64.1924, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
64.5539, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
64.9192, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
65.3008, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
65.6864, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
66.0558, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
66.4412, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
66.8065, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
67.1517, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
67.5009, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
67.8825, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
68.2519, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
68.6375, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
68.9946, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
69.3398, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
69.7377, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
70.1153, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
70.4522, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
70.8216, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
71.1992, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
71.5728, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
71.9138, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
72.2507, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
72.6365, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
72.9775, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
73.3227, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
73.7167, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
74.0983, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
74.4394, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
74.7886, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
75.158, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
75.5275, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
75.8808, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
76.2221, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
76.6038, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
76.9854, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
77.3388, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
77.7245, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
78.0698, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
78.4391, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
78.7923, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
79.1375, 0.647998, 0.636367, 71.922, 71.922, 0.636367, 0
