Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,1
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Navigation failures
0.357519, 1, 1, 0, 0, 1, 0
0.722888, 1, 1, 0, 0, 1, 0
1.08822, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.45361, 0.964656, 0.943815, 0, 0, 0.943815, 0
1.84341, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.22114, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.58665, 0.964656, 0.943815, 0, 0, 0.943815, 0
2.94403, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.28099, 0.964656, 0.943815, 0, 0, 0.943815, 0
3.63029, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.0039, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.3693, 0.964656, 0.943815, 0, 0, 0.943815, 0
4.70641, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.09641, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.50247, 0.964656, 0.943815, 0, 0, 0.943815, 0
5.90046, 0.964656, 0.943815, 0, 0, 0.943815, 0
6.27815, 0.964656, 0.943815, 0, 0, 0.943815, 0
6.6721, 0.964656, 0.943815, 0, 0, 0.943815, 0
7.04547, 0.964656, 0.943815, 0, 0, 0.943815, 0
7.40279, 0.964656, 0.943815, 0, 0, 0.943815, 0
7.76414, 0.964656, 0.943815, 0, 0, 0.943815, 0
8.11337, 0.964656, 0.943815, 0, 0, 0.943815, 0
8.50314, 0.964656, 0.943815, 0, 0, 0.943815, 0
8.86867, 0.964656, 0.943815, 0, 0, 0.943815, 0
9.21785, 0.964656, 0.943815, 0, 0, 0.943815, 0
9.57515, 0.964656, 0.943815, 0, 0, 0.943815, 0
9.96479, 0.964656, 0.943815, 0, 0, 0.943815, 0
10.3222, 0.964656, 0.943815, 0, 0, 0.943815, 0
10.688, 0.94114, 0.934362, 0.665795, 0.665795, 0.934362, 0
11.0289, 0.928913, 0.919974, 1.32348, 1.32348, 0.919974, 0
11.3862, 0.915713, 0.91194, 1.9226, 1.9226, 0.910365, 0
11.7394, 0.90864, 0.905078, 2.58037, 2.58037, 0.90401, 0
12.0763, 0.90469, 0.899714, 3.17946, 3.17946, 0.898529, 0
12.4661, 0.898652, 0.895065, 3.90303, 3.90303, 0.893919, 0
12.8235, 0.893967, 0.886823, 4.61946, 4.61946, 0.884805, 0
13.1688, 0.885496, 0.879831, 5.16048, 5.16048, 0.878086, 0
13.5058, 0.876058, 0.870326, 5.75985, 5.75985, 0.86862, 0
13.8632, 0.866313, 0.861797, 6.42508, 6.42508, 0.86043, 0
14.2167, 0.853025, 0.847083, 7.02473, 7.02473, 0.847083, 0
14.57, 0.838131, 0.833568, 7.68277, 7.68277, 0.830247, 0
14.9069, 0.826708, 0.821914, 8.2818, 8.2818, 0.820221, 0
15.248, 0.820523, 0.813203, 9.0054, 9.0054, 0.813203, 0
15.6093, 0.813785, 0.806628, 9.53873, 9.53873, 0.803672, 0
15.9668, 0.79986, 0.792943, 10.2628, 10.2628, 0.789245, 0
16.3445, 0.775219, 0.767279, 10.8622, 10.8622, 0.767279, 0
16.6936, 0.767433, 0.760234, 11.52, 11.52, 0.758633, 0
17.0348, 0.761023, 0.753685, 12.1193, 12.1193, 0.751719, 0
17.4207, 0.75654, 0.748268, 12.7847, 12.7847, 0.747292, 0
17.7578, 0.753181, 0.744401, 13.4426, 13.4426, 0.743424, 0
18.1354, 0.749523, 0.740182, 14.1005, 14.1005, 0.740182, 0
18.4931, 0.746219, 0.736862, 14.7587, 14.7587, 0.736654, 0
18.883, 0.743081, 0.733945, 15.4827, 15.4827, 0.733464, 0
19.2603, 0.740112, 0.730195, 16.0815, 16.0815, 0.730195, 0
19.6418, 0.735433, 0.724909, 16.9217, 16.9217, 0.724701, 0
19.979, 0.731871, 0.721771, 17.4043, 17.4043, 0.721771, 0
20.3285, 0.727165, 0.717708, 18.0624, 18.0624, 0.716758, 0
20.6859, 0.723806, 0.713594, 18.6621, 18.6621, 0.712956, 0
21.0553, 0.719671, 0.710924, 19.3855, 19.3855, 0.710924, 0
21.3924, 0.711385, 0.703385, 19.9849, 19.9849, 0.701719, 0
21.7619, 0.697588, 0.691068, 20.6427, 20.6427, 0.688451, 0
22.1356, 0.68141, 0.672578, 21.3007, 21.3007, 0.672578, 0
22.5092, 0.671913, 0.661914, 22.0244, 22.0244, 0.661914, 0
22.8748, 0.670167, 0.660404, 22.624, 22.624, 0.660234, 0
23.2162, 0.669367, 0.659779, 23.2238, 23.2238, 0.659701, 0
23.5613, 0.669135, 0.659466, 23.8816, 23.8816, 0.659466, 0
23.943, 0.66896, 0.65931, 24.5394, 24.5394, 0.65931, 0
24.288, 0.668817, 0.659219, 25.1386, 25.1386, 0.659219, 0
24.6535, 0.668813, 0.659219, 25.8622, 25.8622, 0.659219, 0
25.0351, 0.668756, 0.659141, 26.3956, 26.3956, 0.659141, 0
25.4046, 0.668756, 0.659141, 27.1777, 27.1777, 0.659141, 0
25.774, 0.668756, 0.659141, 27.7185, 27.7185, 0.659141, 0
26.1518, 0.668756, 0.659141, 28.4349, 28.4349, 0.659141, 0
26.5172, 0.6687, 0.659102, 29.1002, 29.1002, 0.659102, 0
26.8867, 0.668683, 0.659102, 29.8163, 29.8163, 0.659102, 0
27.2563, 0.668665, 0.659089, 30.4158, 30.4158, 0.659089, 0
27.6381, 0.668369, 0.658776, 31.1395, 31.1395, 0.658776, 0
27.9995, 0.668348, 0.658737, 31.739, 31.739, 0.658711, 0
28.3528, 0.668329, 0.658711, 32.3384, 32.3384, 0.658711, 0
28.7266, 0.668288, 0.658581, 33.055, 33.055, 0.658581, 0
29.0922, 0.668288, 0.658581, 33.7205, 33.7205, 0.658581, 0
29.4496, 0.668221, 0.658568, 34.3198, 34.3198, 0.658568, 0
29.807, 0.668221, 0.658451, 34.9776, 34.9776, 0.658451, 0
30.152, 0.668133, 0.658372, 35.5769, 35.5769, 0.658359, 0
30.5215, 0.668008, 0.658294, 36.3589, 36.3589, 0.658229, 0
30.883, 0.667906, 0.658216, 36.9, 36.9, 0.658164, 0
31.2446, 0.667885, 0.658164, 37.5581, 37.5581, 0.658164, 0
31.5938, 0.667885, 0.658164, 38.216, 38.216, 0.658164, 0
31.9512, 0.667885, 0.658164, 38.9396, 38.9396, 0.658164, 0
32.3127, 0.667885, 0.658164, 39.4807, 39.4807, 0.658164, 0
32.6905, 0.667885, 0.658164, 40.1973, 40.1973, 0.658151, 0
33.0437, 0.666575, 0.657005, 40.7967, 40.7967, 0.656875, 0
33.4372, 0.664323, 0.655247, 41.6363, 41.6363, 0.654648, 0
33.8109, 0.663883, 0.654036, 42.2944, 42.2944, 0.654036, 0
34.1639, 0.663854, 0.653984, 42.8348, 42.8348, 0.653984, 0
34.5212, 0.663842, 0.653984, 43.4999, 43.4999, 0.653984, 0
34.8924, 0.663835, 0.653958, 44.1578, 44.1578, 0.653945, 0
35.2617, 0.663777, 0.653802, 44.8182, 44.8182, 0.653802, 0
35.6315, 0.663706, 0.653802, 45.4765, 45.4765, 0.653802, 0
35.9727, 0.663635, 0.653737, 46.0759, 46.0759, 0.653737, 0
36.3382, 0.663613, 0.653737, 46.7412, 46.7412, 0.653737, 0
36.7201, 0.6636, 0.653737, 47.5163, 47.5163, 0.653737, 0
37.0895, 0.663535, 0.653698, 48.1156, 48.1156, 0.653633, 0
37.4511, 0.663531, 0.65362, 48.7811, 48.7811, 0.65362, 0
37.8166, 0.663525, 0.65362, 49.4363, 49.4363, 0.65362, 0
38.2064, 0.6619, 0.652708, 49.9628, 49.9628, 0.652708, 0
38.5718, 0.656969, 0.64944, 50.516, 50.516, 0.64625, 0
38.9209, 0.656969, 0.64625, 50.516, 50.516, 0.64625, 0
39.2905, 0.656969, 0.64625, 50.516, 50.516, 0.64625, 0
39.6845, 0.656969, 0.64625, 50.516, 50.516, 0.64625, 0
40.0215, 0.656969, 0.64625, 50.516, 50.516, 0.64625, 0
40.3991, 0.656969, 0.64625, 50.516, 50.516, 0.64625, 0
40.785, 0.656969, 0.64625, 50.516, 50.516, 0.64625, 0
41.1263, 0.656969, 0.64625, 50.516, 50.516, 0.64625, 0
41.4635, 0.656969, 0.64625, 50.516, 50.516, 0.64625, 0
41.817, 0.656969, 0.64625, 50.516, 50.516, 0.64625, 0
42.1989, 0.656969, 0.64625, 50.516, 50.516, 0.64625, 0
42.5603, 0.656969, 0.64625, 50.516, 50.516, 0.64625, 0
42.9339, 0.656969, 0.64625, 50.516, 50.516, 0.64625, 0
43.3157, 0.656969, 0.64625, 50.516, 50.516, 0.64625, 0
43.6814, 0.656904, 0.646198, 50.8744, 50.8744, 0.646198, 0
44.055, 0.656877, 0.646185, 51.653, 51.653, 0.646133, 0
44.3961, 0.656848, 0.646133, 52.1939, 52.1939, 0.646133, 0
44.7693, 0.656848, 0.64612, 52.8513, 52.8513, 0.64612, 0
45.1427, 0.656842, 0.64612, 53.5086, 53.5086, 0.64612, 0
45.4839, 0.656821, 0.64612, 54.1739, 54.1739, 0.646107, 0
45.821, 0.656796, 0.646055, 54.8319, 54.8319, 0.646055, 0
46.1905, 0.656006, 0.645404, 55.4312, 55.4312, 0.645143, 0
46.5803, 0.655138, 0.644388, 56.2107, 56.2107, 0.64418, 0
46.954, 0.654775, 0.643841, 56.7342, 56.7342, 0.643828, 0
47.295, 0.654477, 0.643294, 56.7926, 56.7926, 0.643294, 0
47.6441, 0.654477, 0.643294, 56.7926, 56.7926, 0.643294, 0
47.9933, 0.654477, 0.643294, 56.7926, 56.7926, 0.643294, 0
48.3508, 0.654477, 0.643294, 56.7926, 56.7926, 0.643294, 0
