Package version:,2.1.7
Scenario:,apartment1
Connectivity:,global
Planner type:,objectsearch
Robot count:,1
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Navigation failures
0.35402, 1, 1, 0, 0, 1, 0
0.747941, 1, 1, 0, 0, 1, 0
1.10126, 0.984117, 0.978789, 0, 0, 0.978789, 0
1.49121, 0.984117, 0.978789, 0, 0, 0.978789, 0
1.8364, 0.984117, 0.978789, 0, 0, 0.978789, 0
2.18571, 0.984117, 0.978789, 0, 0, 0.978789, 0
2.55929, 0.984117, 0.978789, 0, 0, 0.978789, 0
2.9368, 0.984117, 0.978789, 0, 0, 0.978789, 0
3.32237, 0.984117, 0.978789, 0, 0, 0.978789, 0
3.69164, 0.984117, 0.978789, 0, 0, 0.978789, 0
4.06121, 0.984117, 0.978789, 0, 0, 0.978789, 0
4.43079, 0.984117, 0.978789, 0, 0, 0.978789, 0
4.81249, 0.984117, 0.978789, 0, 0, 0.978789, 0
5.16987, 0.984117, 0.978789, 0, 0, 0.978789, 0
5.53112, 0.984117, 0.978789, 0, 0, 0.978789, 0
5.89254, 0.984117, 0.978789, 0, 0, 0.978789, 0
6.28245, 0.984117, 0.978789, 0, 0, 0.978789, 0
6.62775, 0.984117, 0.978789, 0, 0, 0.978789, 0
6.96899, 0.984117, 0.978789, 0, 0, 0.978789, 0
7.35485, 0.984117, 0.978789, 0, 0, 0.978789, 0
7.72019, 0.984117, 0.978789, 0, 0, 0.978789, 0
8.08151, 0.984117, 0.978789, 0, 0, 0.978789, 0
8.43481, 0.984117, 0.978789, 0, 0, 0.978789, 0
8.78416, 0.984117, 0.978789, 0, 0, 0.978789, 0
9.15379, 0.984117, 0.978789, 0, 0, 0.978789, 0
9.55178, 0.984117, 0.978789, 0, 0, 0.978789, 0
9.92548, 0.984117, 0.978789, 0, 0, 0.978789, 0
10.2828, 0.984117, 0.978789, 0, 0, 0.978789, 0
10.6605, 0.984117, 0.978789, 0, 0, 0.978789, 0
11.0099, 0.984117, 0.978789, 0, 0, 0.978789, 0
