Package version:,2.1.7
Scenario:,tunnels_45
Connectivity:,global
Planner type:,frontier
Robot count:,3
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Distance (robot 2) [m], Map uncertainty (robot 2) [-], Distance (robot 3) [m], Map uncertainty (robot 3) [-], Navigation failures
0.36139, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0
0.726651, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0
1.07982, 0.983288, 1, 0, 0, 0.984325, 0, 0.98605, 0, 0.981975, 0
1.42078, 0.982428, 0.980425, 0.673797, 0, 0.980425, 0, 0.9806, 0.673797, 0.980175, 0
1.81446, 0.981676, 0.9797, 1.40436, 0, 0.97985, 0, 0.979575, 1.40436, 0.979575, 0
2.17583, 0.981087, 0.97885, 2.0053, 0, 0.97885, 0, 0.97885, 2.0053, 0.9788, 0
2.51704, 0.980531, 0.9783, 2.73622, 0, 0.978425, 0, 0.978425, 2.73622, 0.9783, 0
2.86212, 0.979955, 0.977725, 3.4022, 0, 0.977725, 0, 0.977725, 3.4022, 0.977725, 0
3.21119, 0.979366, 0.9772, 4.80685, 0.267976, 0.9774, 0.332928, 0.9772, 4.20595, 0.9771, 0
3.56041, 0.978514, 0.976625, 6.60994, 0.869005, 0.97685, 0.933955, 0.976175, 4.80698, 0.976375, 0
3.91772, 0.977687, 0.9758, 8.81315, 1.64622, 0.9757, 1.72977, 0.9757, 5.43717, 0.97555, 0
4.32772, 0.977372, 0.975, 10.2586, 2.35279, 0.975, 2.46859, 0.975, 5.43717, 0.975, 0
4.71736, 0.977364, 0.974975, 10.3884, 2.35279, 0.974975, 2.59845, 0.974975, 5.43717, 0.974975, 0
5.06627, 0.977224, 0.974975, 10.7941, 2.35279, 0.974975, 2.59845, 0.974975, 5.84288, 0.974975, 0
5.40719, 0.976456, 0.973925, 11.4597, 2.35279, 0.9743, 2.59845, 0.973925, 6.5085, 0.973925, 0
5.77657, 0.974454, 0.9724, 12.1903, 2.35279, 0.972975, 2.59845, 0.972975, 7.23909, 0.9724, 0
6.16174, 0.973468, 0.9705, 12.3202, 2.35279, 0.9705, 2.66333, 0.9705, 7.30404, 0.9705, 0
6.50655, 0.973164, 0.970375, 13.7964, 3.02595, 0.970275, 3.4664, 0.970275, 7.30404, 0.970275, 0
6.89629, 0.972654, 0.9698, 15.2581, 3.82172, 0.9698, 4.1323, 0.96985, 7.30404, 0.96985, 0
7.28171, 0.971461, 0.9688, 16.7349, 4.08956, 0.96915, 4.66783, 0.9688, 7.97754, 0.9688, 0
7.64712, 0.970481, 0.967825, 17.4005, 4.08956, 0.967825, 4.66783, 0.967825, 8.64315, 0.967375, 0
7.98809, 0.970391, 0.9673, 17.4005, 4.08956, 0.9673, 4.66783, 0.9673, 8.64315, 0.9673, 0
8.37378, 0.970194, 0.9673, 17.8562, 4.54519, 0.967175, 4.66783, 0.9673, 8.64315, 0.9673, 0
8.72668, 0.969682, 0.966725, 18.4566, 5.14562, 0.966675, 4.66783, 0.966725, 8.64315, 0.966675, 0
9.06366, 0.968904, 0.966075, 19.4691, 5.9412, 0.966075, 4.66783, 0.96625, 8.86004, 0.96625, 0
9.42074, 0.968338, 0.965475, 19.8163, 6.28846, 0.965375, 4.66783, 0.965375, 8.86004, 0.965475, 0
9.81031, 0.968338, 0.965275, 19.8163, 6.28846, 0.965275, 4.66783, 0.965275, 8.86004, 0.965275, 0
10.1551, 0.968228, 0.965275, 20.0187, 6.28846, 0.965275, 4.66783, 0.965275, 9.06242, 0.965275, 0
10.4917, 0.967532, 0.96495, 21.6817, 6.62095, 0.964725, 5.33308, 0.9645, 9.72766, 0.964725, 0
10.8285, 0.966702, 0.96375, 23.1504, 7.28644, 0.9636, 5.99853, 0.96375, 9.86546, 0.96375, 0
11.1694, 0.9661, 0.963225, 24.7574, 8.08992, 0.96285, 6.80203, 0.963225, 9.86546, 0.96285, 0
11.5509, 0.965499, 0.9625, 26.2912, 8.75542, 0.96225, 7.46742, 0.9625, 10.0684, 0.9625, 0
11.9162, 0.964813, 0.961575, 28.6939, 9.559, 0.9616, 8.27101, 0.961575, 10.8639, 0.961375, 0
12.2613, 0.96417, 0.960925, 30.4964, 10.0217, 0.960825, 8.87187, 0.960925, 11.6029, 0.960925, 0
12.5981, 0.963796, 0.96025, 31.8615, 10.0217, 0.960375, 9.57139, 0.960375, 12.2684, 0.96025, 0
12.9512, 0.963282, 0.95985, 32.5265, 10.0217, 0.959725, 9.57139, 0.95985, 12.9334, 0.959575, 0
13.3044, 0.962708, 0.959125, 33.2572, 10.1516, 0.95925, 9.57139, 0.95925, 13.5342, 0.959125, 0
13.6493, 0.961613, 0.958325, 34.5951, 10.9552, 0.95785, 9.57139, 0.958325, 14.0685, 0.95815, 0
14.0065, 0.961144, 0.9576, 35.1946, 11.5547, 0.957425, 9.57139, 0.9576, 14.0685, 0.95745, 0
14.3595, 0.96085, 0.957175, 35.9153, 12.2754, 0.957175, 9.57139, 0.957175, 14.0685, 0.957175, 0
14.7006, 0.960671, 0.957075, 36.9444, 12.9716, 0.95705, 9.57139, 0.957075, 14.4014, 0.957175, 0
15.0537, 0.960189, 0.956525, 37.6041, 12.9716, 0.956525, 9.57139, 0.956525, 15.0611, 0.956425, 0
15.4432, 0.959552, 0.9558, 38.4076, 12.9716, 0.9558, 9.57139, 0.9558, 15.8646, 0.9558, 0
15.8289, 0.958899, 0.95535, 39.2681, 12.9716, 0.95545, 9.76619, 0.95535, 16.5303, 0.955075, 0
16.1699, 0.958323, 0.95455, 40.8757, 12.9716, 0.954775, 10.57, 0.95455, 17.3341, 0.95455, 0
16.5596, 0.958021, 0.95415, 41.6715, 12.9716, 0.95415, 11.2358, 0.95415, 17.4641, 0.95415, 0
16.925, 0.957975, 0.954125, 42.5878, 13.2396, 0.954125, 11.8841, 0.954125, 17.4641, 0.954125, 0
17.3021, 0.957883, 0.953975, 44.3024, 14.2159, 0.953975, 12.6224, 0.953975, 17.4641, 0.953975, 0
17.6593, 0.957878, 0.953925, 44.4323, 14.2808, 0.953925, 12.6873, 0.953925, 17.4641, 0.953925, 0
17.9958, 0.957875, 0.953925, 44.7649, 14.6134, 0.953925, 12.6873, 0.953925, 17.4641, 0.953925, 0
18.3812, 0.957768, 0.9539, 45.706, 15.4166, 0.95385, 12.7522, 0.9539, 17.5371, 0.9539, 0
18.7424, 0.956777, 0.95335, 47.4993, 15.7492, 0.95325, 13.4826, 0.9531, 18.2675, 0.9531, 0
19.0874, 0.956419, 0.9525, 48.4329, 15.7492, 0.9525, 14.1483, 0.9525, 18.5354, 0.952375, 0
19.4284, 0.956321, 0.952375, 49.5, 15.7492, 0.952375, 14.9474, 0.952375, 18.8034, 0.952375, 0
19.7695, 0.955402, 0.9519, 51.1406, 16.2121, 0.95185, 15.4593, 0.9519, 19.4692, 0.95175, 0
20.1066, 0.954056, 0.950775, 53.139, 16.8782, 0.95065, 16.1254, 0.950775, 20.1354, 0.9504, 0
20.4518, 0.952724, 0.94935, 54.9419, 17.4792, 0.94915, 16.7264, 0.94935, 20.7363, 0.948275, 0
20.8496, 0.951427, 0.94745, 57.4267, 18.348, 0.947425, 17.5952, 0.947525, 21.4835, 0.94725, 0
21.1865, 0.95083, 0.946625, 58.628, 18.9487, 0.94655, 18.1958, 0.946625, 21.4835, 0.946825, 0
21.5274, 0.950272, 0.9462, 59.9594, 19.6144, 0.94585, 18.8615, 0.9462, 21.4835, 0.9462, 0
21.8764, 0.949757, 0.94545, 61.2902, 20.2798, 0.94525, 19.5269, 0.94545, 21.4835, 0.945525, 0
22.2537, 0.948524, 0.944825, 63.5462, 21.0751, 0.944525, 20.3222, 0.94425, 22.1489, 0.94415, 0
22.5947, 0.947139, 0.943225, 65.5596, 21.7489, 0.942975, 20.9961, 0.943225, 22.8146, 0.943025, 0
22.9682, 0.945718, 0.941425, 67.7599, 22.4796, 0.9413, 21.7268, 0.941725, 23.5534, 0.941625, 0
23.3456, 0.944187, 0.940475, 70.1466, 23.2752, 0.9399, 22.5224, 0.9395, 24.349, 0.939675, 0
23.6826, 0.942802, 0.9386, 72.3628, 24.0139, 0.9384, 23.2611, 0.9384, 25.0878, 0.9386, 0
24.0519, 0.941668, 0.93665, 73.8161, 24.4119, 0.936825, 24.0566, 0.93665, 25.3477, 0.93665, 0
24.4417, 0.941573, 0.9366, 74.5551, 24.4119, 0.9366, 24.7956, 0.936575, 25.3477, 0.9366, 0
24.8313, 0.941448, 0.936325, 74.815, 24.4119, 0.9364, 25.0554, 0.936325, 25.3477, 0.936325, 0
25.2127, 0.940995, 0.936325, 75.3424, 24.9393, 0.93625, 25.0554, 0.936325, 25.3477, 0.936325, 0
25.5655, 0.940104, 0.93565, 76.0156, 25.6125, 0.935475, 25.0554, 0.93565, 25.3477, 0.93565, 0
25.9063, 0.939092, 0.934725, 77.0785, 26.3426, 0.9343, 25.3882, 0.934725, 25.3477, 0.934725, 0
26.2675, 0.93812, 0.93335, 78.2445, 26.9187, 0.933325, 25.3882, 0.93335, 25.9376, 0.933025, 0
26.6491, 0.937132, 0.93245, 79.9053, 27.646, 0.93215, 25.3882, 0.93215, 26.8711, 0.932225, 0
27.0144, 0.93578, 0.931075, 81.3003, 28.4495, 0.930875, 25.3882, 0.931075, 27.4626, 0.93095, 0
27.3596, 0.934628, 0.930025, 82.6321, 29.1154, 0.9295, 25.3882, 0.929825, 28.1285, 0.929925, 0
27.7333, 0.932867, 0.928075, 84.1599, 29.8468, 0.928075, 25.4532, 0.928075, 28.8599, 0.927925, 0
28.107, 0.931366, 0.926475, 86.3044, 30.2531, 0.925925, 26.3224, 0.926475, 29.729, 0.9257, 0
28.4883, 0.93079, 0.925425, 87.8298, 30.2531, 0.9253, 27.0525, 0.9253, 30.5242, 0.9253, 0
28.8738, 0.930145, 0.924575, 89.3633, 30.2531, 0.924625, 27.8475, 0.92435, 31.2627, 0.92465, 0
29.2148, 0.929016, 0.9238, 90.5649, 30.7239, 0.92335, 28.4483, 0.9238, 31.3927, 0.92405, 0
29.5718, 0.927032, 0.921425, 92.0257, 31.3894, 0.9212, 29.2436, 0.921425, 31.3927, 0.92145, 0
29.9614, 0.92617, 0.9206, 93.4928, 32.1928, 0.92035, 29.9073, 0.920575, 31.3927, 0.9206, 0
30.3063, 0.924913, 0.919575, 95.6191, 32.8583, 0.91935, 30.7026, 0.919125, 32.0581, 0.91945, 0
30.6918, 0.923238, 0.9173, 97.6798, 33.5884, 0.918, 31.3679, 0.917475, 32.7234, 0.917875, 0
31.045, 0.921236, 0.915625, 99.9402, 34.3793, 0.91555, 32.1067, 0.915175, 33.4541, 0.916125, 0
31.4265, 0.919951, 0.913975, 102.025, 34.9945, 0.9138, 32.8374, 0.913875, 34.193, 0.91395, 0
31.8082, 0.918461, 0.912275, 104.612, 35.8633, 0.912475, 33.6947, 0.91225, 35.0536, 0.912475, 0
32.1656, 0.917222, 0.9108, 106.009, 36.4644, 0.910675, 33.8896, 0.91105, 35.6548, 0.911075, 0
32.5269, 0.916137, 0.90955, 107.738, 37.3251, 0.9094, 33.8896, 0.909725, 36.5236, 0.90955, 0
32.9168, 0.915013, 0.90845, 109.204, 38.0643, 0.90845, 33.8896, 0.90845, 37.2497, 0.908275, 0
33.2986, 0.913979, 0.907625, 110.672, 38.7304, 0.9074, 34.4907, 0.90745, 37.4506, 0.90755, 0
33.6518, 0.913108, 0.906525, 112.133, 39.4613, 0.906075, 35.2215, 0.906425, 37.4506, 0.906525, 0
34.0413, 0.912064, 0.905275, 113.87, 40.3295, 0.9051, 36.0898, 0.90535, 37.4506, 0.905275, 0
34.4106, 0.910743, 0.90435, 115.599, 41.0602, 0.903825, 36.4227, 0.904275, 38.1162, 0.903725, 0
34.7475, 0.909471, 0.902775, 116.8, 41.6607, 0.902775, 36.4227, 0.902775, 38.7168, 0.90245, 0
35.1006, 0.908175, 0.9014, 118.132, 42.3265, 0.901225, 36.4227, 0.901125, 39.3826, 0.9013, 0
35.4863, 0.906778, 0.899675, 119.731, 43.1304, 0.899375, 36.4227, 0.89985, 40.1783, 0.899575, 0
35.8271, 0.905454, 0.8982, 121.004, 43.7307, 0.89845, 36.4227, 0.8982, 40.8501, 0.898125, 0
36.1638, 0.903821, 0.89685, 122.601, 44.3961, 0.89675, 36.6904, 0.8967, 41.5144, 0.896675, 0
36.5452, 0.902259, 0.8953, 125.206, 45.2644, 0.894525, 37.5588, 0.894725, 42.3828, 0.89505, 0
36.9187, 0.900652, 0.8938, 127.203, 45.9302, 0.89355, 38.2245, 0.893675, 43.0485, 0.8935, 0
37.3084, 0.899144, 0.89205, 128.971, 46.7988, 0.8919, 38.4275, 0.891875, 43.7444, 0.891725, 0
37.6859, 0.898012, 0.891, 129.636, 47.4645, 0.8902, 38.4275, 0.891, 43.7444, 0.891, 0
38.0836, 0.896197, 0.88895, 130.432, 48.2599, 0.888725, 38.4275, 0.888725, 43.7444, 0.88895, 0
38.4651, 0.896028, 0.887975, 130.829, 48.2599, 0.887975, 38.4275, 0.887975, 44.1421, 0.8879, 0
38.8181, 0.895588, 0.8877, 131.408, 48.2599, 0.8877, 38.4275, 0.8877, 44.7204, 0.8874, 0
39.1832, 0.894653, 0.88705, 132.462, 48.3897, 0.88705, 38.6221, 0.88705, 45.4501, 0.886825, 0
39.5808, 0.892884, 0.884725, 133.966, 48.6841, 0.884725, 39.3607, 0.884725, 45.9209, 0.8847, 0
39.934, 0.89258, 0.884475, 134.834, 48.6841, 0.884475, 40.2292, 0.88445, 45.9209, 0.884475, 0
40.3316, 0.89236, 0.884325, 135.5, 48.6841, 0.884325, 40.8948, 0.8843, 45.9209, 0.8843, 0
40.6767, 0.891848, 0.88395, 137.026, 48.8787, 0.8842, 41.6902, 0.8839, 46.4566, 0.88395, 0
41.0499, 0.890639, 0.88305, 139.022, 49.5442, 0.882875, 42.3557, 0.88305, 47.1221, 0.88295, 0
41.4515, 0.889603, 0.881775, 141.302, 50.2824, 0.8817, 43.0939, 0.881775, 47.9252, 0.88135, 0
41.7884, 0.888812, 0.880775, 143.424, 51.0083, 0.88065, 43.8245, 0.880775, 48.5909, 0.88045, 0
42.1741, 0.88799, 0.879925, 145.955, 51.8039, 0.879625, 44.6914, 0.87985, 49.4596, 0.87985, 0
42.523, 0.887186, 0.878875, 147.4, 52.4045, 0.8787, 44.9349, 0.878825, 50.0602, 0.878875, 0
42.868, 0.88661, 0.878225, 148.86, 53.07, 0.87825, 44.9349, 0.87835, 50.8556, 0.878325, 0
43.2454, 0.886052, 0.87775, 150.126, 53.9384, 0.87735, 44.9349, 0.87775, 51.2531, 0.87745, 0
43.6105, 0.88511, 0.87715, 151.328, 54.6039, 0.877, 45.4708, 0.87655, 51.2531, 0.87715, 0
43.9473, 0.884037, 0.875325, 152.326, 54.9365, 0.875275, 46.136, 0.875325, 51.2531, 0.875275, 0
44.2923, 0.883748, 0.875, 153.527, 54.9365, 0.875025, 46.9397, 0.874925, 51.6509, 0.875025, 0
44.629, 0.883123, 0.87445, 154.587, 54.9365, 0.87445, 47.4644, 0.87445, 52.1863, 0.874225, 0
44.9902, 0.882368, 0.873625, 156.389, 55.2693, 0.873575, 48.2029, 0.873625, 52.9167, 0.873625, 0
