Package version:,2.1.7
Scenario:,forest
Connectivity:,global
Planner type:,frontier
Robot count:,3
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Distance (robot 2) [m], Map uncertainty (robot 2) [-], Distance (robot 3) [m], Map uncertainty (robot 3) [-], Navigation failures
0.349078, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0
0.714222, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0
1.08734, 0.903414, 0.885278, 0.2637, 0.231217, 0.885278, 0.032483, 0.885347, 0, 0.885278, 0
1.44852, 0.901186, 0.884236, 0.665402, 0.632919, 0.883958, 0.032483, 0.884236, 0, 0.884236, 0
1.82596, 0.899719, 0.882708, 1.03065, 0.998163, 0.882222, 0.032483, 0.882708, 0, 0.882708, 0
2.17504, 0.894528, 0.880278, 1.72875, 1.33101, 0.880278, 0.032483, 0.880278, 0.365262, 0.880486, 0
2.51996, 0.887067, 0.876875, 2.67026, 1.70032, 0.876319, 0.3693, 0.876319, 0.600638, 0.876875, 0
2.86902, 0.883564, 0.872778, 3.30355, 2.03321, 0.873125, 0.669702, 0.872778, 0.600638, 0.873125, 0
3.22223, 0.880222, 0.869861, 4.0666, 2.39849, 0.869375, 1.06747, 0.869722, 0.600638, 0.869375, 0
3.56729, 0.876869, 0.866458, 4.66748, 2.69893, 0.866319, 1.36791, 0.866181, 0.600638, 0.866042, 0
3.92037, 0.874117, 0.862917, 5.4711, 2.76794, 0.862917, 1.7697, 0.863194, 0.933461, 0.863056, 0
4.28563, 0.871139, 0.859444, 6.14066, 2.76794, 0.86, 2.10247, 0.859792, 1.27025, 0.859792, 0
4.64677, 0.868447, 0.856597, 6.90364, 2.76794, 0.857569, 2.46775, 0.856806, 1.66794, 0.857153, 0
5.01208, 0.864311, 0.8525, 7.97097, 3.13723, 0.852917, 2.83298, 0.8525, 2.00076, 0.852708, 0
5.36523, 0.860072, 0.84875, 8.96938, 3.47003, 0.848889, 3.16579, 0.849097, 2.33356, 0.848958, 0
5.72656, 0.856142, 0.843889, 10.0738, 3.83545, 0.843889, 3.53527, 0.843819, 2.70304, 0.843611, 0
6.08, 0.852544, 0.839722, 11.1707, 4.2011, 0.839028, 3.90091, 0.839792, 3.06869, 0.839444, 0
6.43731, 0.847636, 0.834653, 12.1046, 4.46914, 0.835278, 4.23386, 0.834167, 3.40164, 0.834375, 0
6.79063, 0.844292, 0.831042, 12.9087, 4.46914, 0.831042, 4.63582, 0.830625, 3.80373, 0.830625, 0
7.14768, 0.841383, 0.828194, 13.5739, 4.46914, 0.828194, 4.96843, 0.827431, 4.13633, 0.827986, 0
7.4845, 0.838597, 0.825069, 14.2663, 4.46914, 0.824931, 5.29648, 0.824583, 4.50071, 0.824653, 0
7.82557, 0.836897, 0.823194, 14.7332, 4.6356, 0.823194, 5.29648, 0.823403, 4.80113, 0.823333, 0
8.21103, 0.834503, 0.820625, 15.3356, 5.00484, 0.820625, 5.29648, 0.820625, 5.03424, 0.820625, 0
8.55189, 0.832636, 0.81875, 15.8347, 5.40259, 0.818403, 5.39788, 0.81875, 5.03424, 0.819097, 0
8.89267, 0.831517, 0.817014, 16.4066, 5.67438, 0.817014, 5.69803, 0.817014, 5.03424, 0.817014, 0
9.25367, 0.830483, 0.81625, 17.1758, 6.04192, 0.816042, 6.09966, 0.815764, 5.03424, 0.81625, 0
9.60267, 0.826889, 0.812986, 17.8633, 6.43963, 0.812986, 6.38945, 0.812986, 5.03424, 0.813056, 0
9.94753, 0.823239, 0.807847, 18.5327, 6.73987, 0.808958, 6.75863, 0.807847, 5.03424, 0.807986, 0
10.2882, 0.818314, 0.803889, 19.3626, 7.07087, 0.803889, 7.12366, 0.803403, 5.16812, 0.804028, 0
10.6819, 0.814394, 0.799514, 20.424, 7.43959, 0.799306, 7.45109, 0.799514, 5.53331, 0.799514, 0
11.0674, 0.812011, 0.796667, 21.2229, 7.5692, 0.796597, 7.65368, 0.796667, 5.99999, 0.796528, 0
11.4408, 0.810994, 0.795972, 21.5232, 7.5692, 0.795972, 7.65368, 0.796111, 6.30029, 0.795903, 0
11.8059, 0.809925, 0.794306, 21.9897, 7.60168, 0.794306, 7.65368, 0.794306, 6.73438, 0.794167, 0
12.1428, 0.807761, 0.792222, 22.5256, 7.80467, 0.792222, 7.65368, 0.792222, 7.06725, 0.792222, 0
12.5079, 0.806636, 0.791458, 22.8582, 7.80467, 0.791528, 7.65368, 0.791528, 7.39985, 0.791528, 0
12.8733, 0.804033, 0.788472, 23.5605, 7.80467, 0.788542, 7.98657, 0.788472, 7.76928, 0.788472, 0
13.2384, 0.801264, 0.785625, 24.2259, 7.80467, 0.785764, 8.31925, 0.785625, 8.10197, 0.785764, 0
13.5791, 0.798208, 0.782361, 25.1912, 8.17379, 0.782361, 8.71678, 0.782361, 8.30062, 0.782361, 0
13.9161, 0.796656, 0.780417, 25.8128, 8.50668, 0.780417, 9.00548, 0.780556, 8.30062, 0.780417, 0
14.2892, 0.794369, 0.777569, 26.1778, 8.87172, 0.777569, 9.00548, 0.777708, 8.30062, 0.778472, 0
14.6424, 0.790814, 0.775069, 26.7786, 9.24109, 0.775347, 9.00548, 0.775833, 8.532, 0.775069, 0
15.0076, 0.787156, 0.771806, 27.4765, 9.57381, 0.772083, 9.00548, 0.772222, 8.89722, 0.771736, 0
