Package version:,2.1.7
Scenario:,forest
Connectivity:,global
Planner type:,frontier
Robot count:,3
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Distance (robot 2) [m], Map uncertainty (robot 2) [-], Distance (robot 3) [m], Map uncertainty (robot 3) [-], Navigation failures
17.332, 0.764489, 0.748333, 31.0531, 11.5919, 0.748264, 9.16808, 0.747569, 10.2931, 0.748264, 0
17.6852, 0.761394, 0.745625, 31.816, 11.9572, 0.745069, 9.53333, 0.745625, 10.3255, 0.745625, 0
18.0544, 0.756378, 0.740347, 32.9115, 12.3223, 0.740278, 9.8985, 0.740069, 10.6907, 0.740486, 0
18.4117, 0.752233, 0.736042, 33.9508, 12.7242, 0.735764, 10.134, 0.735347, 11.0926, 0.736042, 0
18.7485, 0.747903, 0.732014, 34.9124, 13.0571, 0.731736, 10.4343, 0.731597, 11.421, 0.731458, 0
19.1015, 0.743161, 0.726806, 35.9427, 13.3897, 0.727083, 10.7995, 0.7275, 11.7535, 0.727153, 0
19.4423, 0.738806, 0.722431, 36.9408, 13.7224, 0.7225, 11.1322, 0.722083, 12.0862, 0.722847, 0
19.8036, 0.734056, 0.717986, 38.0814, 14.0918, 0.717292, 11.534, 0.717083, 12.4556, 0.717778, 0
20.1852, 0.728778, 0.712431, 39.177, 14.4569, 0.712917, 11.8992, 0.712153, 12.8209, 0.712431, 0
20.5506, 0.723289, 0.705694, 40.2776, 14.8589, 0.705347, 12.2322, 0.705694, 13.1865, 0.705347, 0
20.9116, 0.717758, 0.699722, 41.4457, 15.2239, 0.699514, 12.6337, 0.700278, 13.588, 0.699236, 0
21.2485, 0.712678, 0.695139, 42.2129, 15.5568, 0.695139, 12.9341, 0.695069, 13.722, 0.695139, 0
21.5855, 0.709511, 0.692292, 42.8457, 15.8572, 0.691597, 13.2665, 0.692083, 13.722, 0.691389, 0
21.9427, 0.706189, 0.68875, 43.5438, 16.2225, 0.688611, 13.5993, 0.688889, 13.722, 0.688542, 0
22.3119, 0.703922, 0.685764, 44.0145, 16.6242, 0.685694, 13.6683, 0.685694, 13.722, 0.685764, 0
22.653, 0.699717, 0.682778, 44.6804, 16.9572, 0.682778, 13.6683, 0.681806, 14.0549, 0.681806, 0
22.9937, 0.695536, 0.677083, 45.2809, 17.2574, 0.676875, 13.6683, 0.677292, 14.3552, 0.677292, 0
23.3344, 0.691347, 0.672083, 45.9763, 17.5879, 0.673194, 13.6683, 0.672083, 14.7201, 0.672639, 0
23.6997, 0.687389, 0.668542, 46.6386, 17.8484, 0.668542, 13.6683, 0.668611, 15.122, 0.668542, 0
24.061, 0.684617, 0.666042, 47.2719, 17.8484, 0.665625, 13.9687, 0.665139, 15.4549, 0.665347, 0
24.3978, 0.681453, 0.662292, 47.9049, 17.8484, 0.6625, 14.3015, 0.662222, 15.7551, 0.662014, 0
24.7669, 0.678042, 0.658819, 48.8695, 18.047, 0.658403, 14.7023, 0.658611, 16.1201, 0.659444, 0
25.132, 0.673894, 0.654583, 50.0056, 18.4161, 0.654861, 15.1002, 0.654306, 16.4892, 0.654583, 0
25.4688, 0.670192, 0.650556, 51.069, 18.7814, 0.65, 15.4331, 0.649722, 16.8545, 0.650556, 0
25.8259, 0.666264, 0.645764, 52.0623, 19.1141, 0.645, 15.7982, 0.645625, 17.15, 0.645486, 0
26.1994, 0.66295, 0.641181, 53.0761, 19.516, 0.64125, 16.1676, 0.640972, 17.3925, 0.641597, 0
26.5766, 0.660094, 0.637569, 53.8833, 19.8811, 0.637639, 16.5651, 0.637917, 17.4371, 0.638125, 0
26.9337, 0.657364, 0.634931, 54.646, 20.2462, 0.634722, 16.8978, 0.635347, 17.5019, 0.635347, 0
27.2909, 0.654517, 0.632153, 55.4336, 20.5831, 0.632292, 17.2347, 0.632431, 17.6158, 0.6325, 0
27.6359, 0.652039, 0.629375, 56.2699, 20.9809, 0.629236, 17.6001, 0.629792, 17.6889, 0.629861, 0
27.9972, 0.649197, 0.626944, 56.9765, 21.2813, 0.626875, 17.9979, 0.626806, 17.6974, 0.626875, 0
28.3705, 0.646372, 0.624167, 57.752, 21.6832, 0.623889, 18.3672, 0.624306, 17.7016, 0.624306, 0
28.7276, 0.643906, 0.621597, 58.3892, 22.0159, 0.62125, 18.6675, 0.621181, 17.7058, 0.621389, 0
29.0686, 0.641269, 0.618542, 59.2497, 22.4136, 0.618194, 19.0652, 0.618333, 17.7709, 0.618542, 0
29.4217, 0.638631, 0.61625, 59.7247, 22.714, 0.616042, 19.2317, 0.616042, 17.779, 0.616042, 0
29.7749, 0.638433, 0.615694, 59.7692, 22.7464, 0.615694, 19.2317, 0.615694, 17.7911, 0.615694, 0
30.1399, 0.638433, 0.615694, 59.8462, 22.7464, 0.615694, 19.2317, 0.615694, 17.8681, 0.615694, 0
30.4889, 0.638433, 0.615694, 59.8626, 22.7464, 0.615694, 19.2317, 0.615694, 17.8845, 0.615694, 0
30.854, 0.637125, 0.615139, 60.167, 22.9777, 0.614583, 19.2317, 0.614931, 17.9576, 0.615139, 0
31.1949, 0.635572, 0.612639, 60.6377, 23.3794, 0.612639, 19.2317, 0.612847, 18.0266, 0.612639, 0
31.5682, 0.633561, 0.610625, 61.2384, 23.6797, 0.610486, 19.4305, 0.610625, 18.1281, 0.610625, 0
31.9175, 0.631606, 0.608403, 62.034, 24.045, 0.608472, 19.7959, 0.608403, 18.1932, 0.608472, 0
32.2909, 0.629378, 0.606042, 62.9434, 24.4468, 0.605903, 20.1978, 0.606042, 18.2988, 0.606042, 0
32.6479, 0.626881, 0.603889, 63.6251, 24.7796, 0.603611, 20.5305, 0.603889, 18.3151, 0.604097, 0
33.0011, 0.624347, 0.601042, 64.4208, 25.1124, 0.600833, 20.8633, 0.600972, 18.4451, 0.601042, 0
33.3503, 0.6236, 0.599861, 64.9659, 25.1826, 0.599861, 21.2652, 0.599792, 18.5181, 0.599861, 0
33.7116, 0.622789, 0.599306, 65.5466, 25.3165, 0.599306, 21.6306, 0.599306, 18.5994, 0.599306, 0
34.0729, 0.62145, 0.597361, 66.2531, 25.6819, 0.597431, 21.9635, 0.597708, 18.6077, 0.597431, 0
34.4138, 0.619528, 0.595972, 66.9918, 25.9497, 0.595833, 22.2963, 0.595694, 18.7458, 0.595417, 0
34.7548, 0.617172, 0.59375, 67.7994, 26.315, 0.593611, 22.6657, 0.593681, 18.8187, 0.59375, 0
35.0999, 0.614744, 0.591319, 68.6032, 26.648, 0.591042, 23.0311, 0.590903, 18.9242, 0.590903, 0
35.4529, 0.612058, 0.588472, 69.3704, 27.0497, 0.588472, 23.3314, 0.588472, 18.9892, 0.588542, 0
35.8061, 0.608892, 0.585694, 70.2065, 27.4151, 0.586042, 23.7292, 0.585972, 19.0623, 0.586319, 0
36.151, 0.606181, 0.583819, 70.8477, 27.7153, 0.583194, 24.0294, 0.583681, 19.1029, 0.583056, 0
36.5122, 0.6031, 0.580556, 71.7203, 28.1171, 0.580556, 24.4312, 0.580556, 19.172, 0.580556, 0
36.8653, 0.600594, 0.578403, 72.3577, 28.3484, 0.578681, 24.7641, 0.578542, 19.2452, 0.578611, 0
37.2184, 0.597714, 0.575625, 73.0672, 28.6812, 0.575208, 25.096, 0.575069, 19.29, 0.575556, 0
37.5634, 0.594842, 0.572361, 73.8517, 28.9867, 0.572361, 25.4613, 0.572361, 19.4037, 0.572361, 0
37.9124, 0.593933, 0.571111, 74.2006, 28.9867, 0.571389, 25.7981, 0.570972, 19.4158, 0.571389, 0
38.2575, 0.5933, 0.570486, 74.6351, 28.9867, 0.570486, 26.1311, 0.570347, 19.5173, 0.570347, 0
38.6147, 0.592006, 0.569931, 75.1993, 29.1207, 0.569583, 26.5288, 0.569861, 19.5498, 0.568958, 0
38.9516, 0.589233, 0.566458, 75.8974, 29.4535, 0.566458, 26.8291, 0.566389, 19.6148, 0.567014, 0
39.3046, 0.586947, 0.564097, 76.774, 29.8552, 0.564097, 27.2308, 0.564097, 19.688, 0.564167, 0
39.6537, 0.584569, 0.561528, 77.4113, 30.1881, 0.561389, 27.5312, 0.561667, 19.692, 0.561667, 0
40.0231, 0.582128, 0.559583, 78.1218, 30.521, 0.559444, 27.8965, 0.559444, 19.7043, 0.559583, 0
40.3641, 0.579683, 0.556806, 78.8606, 30.8538, 0.557361, 28.2943, 0.557292, 19.7125, 0.557361, 0
40.7252, 0.577006, 0.555278, 79.6155, 31.2555, 0.554861, 28.6311, 0.554861, 19.7289, 0.554861, 0
41.0661, 0.57515, 0.552361, 80.2336, 31.4921, 0.552361, 28.964, 0.552292, 19.7776, 0.552361, 0
41.4028, 0.575067, 0.552222, 80.4688, 31.4921, 0.552222, 29.0979, 0.552222, 19.8789, 0.552222, 0
