Package version:,2.1.7
Scenario:,forest
Connectivity:,global
Planner type:,frontier
Robot count:,3
Branch reuse:,enabled
Local reward:,enabled
Min. tree age:,48
Iteration discount:,0.8
Exploration factor:,0.2
Min plan value:,0.001
Action caching:,disabled
ROS time multiplier:,1

Time [s], Map uncertainty (global) [-], Map uncertainty (GS) [-], Total distance [m], Distance (robot 1) [m], Map uncertainty (robot 1) [-], Distance (robot 2) [m], Map uncertainty (robot 2) [-], Distance (robot 3) [m], Map uncertainty (robot 3) [-], Navigation failures
0.341342, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0
0.677008, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0
1.05461, 0.911783, 0.886181, 0, 0, 0.886181, 0, 0.886181, 0, 0.886181, 0
1.40768, 0.905297, 0.885139, 0.365285, 0.365285, 0.884931, 0, 0.885208, 0, 0.885139, 0
1.78089, 0.903403, 0.883889, 0.734408, 0.734408, 0.883681, 0, 0.883681, 0, 0.883889, 0
2.12578, 0.90185, 0.882431, 1.136, 1.06713, 0.882431, 0, 0.882431, 0.0688688, 0.882431, 0
2.48691, 0.896178, 0.880347, 1.86634, 1.4323, 0.880208, 0, 0.879931, 0.43404, 0.880069, 0
2.84813, 0.893267, 0.875972, 2.60102, 1.80167, 0.876528, 0, 0.876528, 0.799348, 0.876111, 0
3.21738, 0.883933, 0.872778, 3.53393, 2.16687, 0.872986, 0.198932, 0.873125, 1.16813, 0.873472, 0
3.56214, 0.87945, 0.868958, 4.19906, 2.49943, 0.868958, 0.531494, 0.868681, 1.16813, 0.868958, 0
3.91929, 0.876375, 0.865694, 4.83629, 2.76732, 0.865139, 0.900843, 0.865139, 1.16813, 0.865139, 0
4.28038, 0.8746, 0.863264, 5.40028, 2.76732, 0.863958, 1.29846, 0.863264, 1.3345, 0.863264, 0
4.62928, 0.871969, 0.860625, 6.00078, 2.76732, 0.860556, 1.59871, 0.860486, 1.63475, 0.860833, 0
4.99843, 0.8687, 0.858056, 7.0675, 2.96601, 0.857431, 2.03273, 0.857708, 2.06877, 0.857014, 0
5.33522, 0.864836, 0.853542, 7.96821, 3.26624, 0.853125, 2.33296, 0.853403, 2.369, 0.853542, 0
5.67629, 0.861183, 0.849236, 8.99969, 3.59925, 0.849236, 2.66597, 0.849236, 2.73446, 0.849167, 0
6.05383, 0.857064, 0.845347, 10.034, 3.93541, 0.845278, 3.03125, 0.844931, 3.06729, 0.845208, 0
6.40295, 0.853308, 0.840764, 11.2398, 4.33735, 0.840486, 3.43319, 0.840764, 3.46923, 0.841042, 0
6.75198, 0.849619, 0.836597, 12.2381, 4.67013, 0.836319, 3.76597, 0.836944, 3.80201, 0.837083, 0
7.11322, 0.845797, 0.832917, 13.1258, 4.97046, 0.832917, 4.05304, 0.832431, 4.10234, 0.832292, 0
7.47866, 0.840519, 0.826667, 14.1964, 5.33589, 0.826667, 4.39333, 0.827847, 4.4672, 0.827431, 0
7.83992, 0.836425, 0.822708, 15.3237, 5.70118, 0.822292, 4.75861, 0.821806, 4.86393, 0.822569, 0
8.17689, 0.832936, 0.818403, 16.4971, 6.10316, 0.81875, 5.16059, 0.818194, 5.23339, 0.818472, 0
8.53422, 0.829025, 0.814028, 17.3963, 6.4361, 0.813333, 5.3939, 0.814028, 5.56633, 0.813889, 0
8.87103, 0.826589, 0.810694, 18.0619, 6.76888, 0.810694, 5.3939, 0.810764, 5.89911, 0.811042, 0
9.23649, 0.823603, 0.808194, 18.8615, 7.17056, 0.808403, 5.3939, 0.808403, 6.29705, 0.808125, 0
9.60202, 0.821522, 0.805486, 19.7631, 7.53608, 0.805208, 5.56034, 0.805486, 6.66665, 0.805486, 0
9.97154, 0.818144, 0.802431, 20.6645, 7.83657, 0.801528, 5.86084, 0.802361, 6.96714, 0.802431, 0
10.3328, 0.811692, 0.795903, 21.8581, 8.23443, 0.795903, 6.2587, 0.796806, 7.365, 0.796319, 0
10.6861, 0.805883, 0.790139, 22.8544, 8.56738, 0.791181, 6.58906, 0.790486, 7.69795, 0.791111, 0
11.0431, 0.800106, 0.784861, 23.8278, 8.8025, 0.785069, 6.95821, 0.784375, 8.06711, 0.784722, 0
11.4084, 0.797558, 0.782708, 24.457, 8.8025, 0.782639, 7.1896, 0.782708, 8.46487, 0.782639, 0
11.7576, 0.796956, 0.781875, 24.725, 8.8025, 0.781806, 7.1896, 0.781875, 8.73287, 0.781806, 0
12.1146, 0.796558, 0.781319, 25.0901, 8.8025, 0.781319, 7.1896, 0.781319, 9.09799, 0.781319, 0
12.4514, 0.796103, 0.781042, 25.427, 8.8025, 0.781042, 7.1896, 0.781042, 9.43485, 0.781042, 0
12.8207, 0.794806, 0.779444, 26.0924, 8.8025, 0.779444, 7.48991, 0.779444, 9.80001, 0.779444, 0
13.1818, 0.7929, 0.777292, 26.8959, 8.8025, 0.7775, 7.89166, 0.777222, 10.2018, 0.777222, 0
13.5307, 0.790633, 0.774861, 27.5928, 8.8025, 0.775208, 8.22345, 0.774861, 10.5669, 0.775417, 0
13.8838, 0.789939, 0.774097, 27.8932, 8.8025, 0.773958, 8.22345, 0.774097, 10.8672, 0.774028, 0
14.229, 0.788667, 0.772917, 28.5591, 9.103, 0.772917, 8.22345, 0.772778, 11.2327, 0.772778, 0
14.5782, 0.786836, 0.770556, 29.2899, 9.43594, 0.770903, 8.28838, 0.77125, 11.5656, 0.770556, 0
14.9476, 0.783153, 0.767431, 30.3979, 9.80501, 0.767222, 8.65784, 0.767014, 11.9351, 0.767431, 0
15.2968, 0.779308, 0.763542, 31.4941, 10.1704, 0.763403, 9.02322, 0.763611, 12.3005, 0.763333, 0
15.6541, 0.775214, 0.76, 32.493, 10.5034, 0.759861, 9.3562, 0.759653, 12.6335, 0.759861, 0
16.0075, 0.772528, 0.757083, 33.6953, 10.9055, 0.757083, 9.75831, 0.756736, 13.0315, 0.756736, 0
16.3891, 0.770417, 0.754931, 34.6978, 11.2383, 0.754722, 10.0911, 0.754444, 13.3684, 0.754722, 0
16.7544, 0.768497, 0.753056, 35.526, 11.6361, 0.752569, 10.1236, 0.752569, 13.7662, 0.753056, 0
17.1158, 0.766483, 0.750556, 36.2604, 12.0052, 0.750347, 10.1236, 0.750764, 14.1317, 0.750556, 0
17.4728, 0.76535, 0.748958, 36.662, 12.3378, 0.748333, 10.1236, 0.748958, 14.2006, 0.748958, 0
17.8218, 0.763233, 0.746389, 37.2627, 12.6706, 0.746042, 10.3915, 0.746389, 14.2006, 0.746806, 0
18.1873, 0.760219, 0.744028, 37.9935, 13.036, 0.743819, 10.7569, 0.744028, 14.2006, 0.744028, 0
18.5527, 0.757403, 0.741319, 39.0331, 13.4056, 0.74125, 11.1264, 0.741319, 14.5011, 0.741319, 0
18.9098, 0.754633, 0.737569, 40.1327, 13.7706, 0.737431, 11.4917, 0.738056, 14.8704, 0.737847, 0
19.2549, 0.751428, 0.733889, 41.2286, 14.1359, 0.733542, 11.857, 0.733889, 15.2357, 0.733889, 0
19.5997, 0.748356, 0.730556, 42.2238, 14.4686, 0.730556, 12.1868, 0.730556, 15.5684, 0.730556, 0
19.9569, 0.744686, 0.726944, 43.3274, 14.8377, 0.726597, 12.5559, 0.726806, 15.9337, 0.727153, 0
20.2937, 0.741228, 0.722917, 44.2284, 15.138, 0.723333, 12.8562, 0.723403, 16.2341, 0.723819, 0
20.6426, 0.736872, 0.719167, 45.3268, 15.5024, 0.71875, 13.2213, 0.719028, 16.6031, 0.72, 0
21.0365, 0.734814, 0.716806, 46.0576, 15.5673, 0.716806, 13.4527, 0.716806, 17.0376, 0.716806, 0
21.3977, 0.734642, 0.716806, 46.4553, 15.6687, 0.716736, 13.4527, 0.716806, 17.3339, 0.716806, 0
21.767, 0.732558, 0.714792, 47.19, 16.034, 0.714653, 13.4527, 0.714653, 17.7033, 0.714792, 0
22.1284, 0.730603, 0.712847, 48.0197, 16.4319, 0.712361, 13.4527, 0.713194, 18.135, 0.713194, 0
22.4815, 0.728289, 0.710486, 48.7217, 16.7687, 0.710278, 13.4527, 0.710486, 18.5003, 0.710139, 0
22.8508, 0.724425, 0.706736, 49.7566, 17.1664, 0.706597, 13.7206, 0.706042, 18.8696, 0.706875, 0
23.2402, 0.719644, 0.702708, 50.8194, 17.4991, 0.700694, 14.0857, 0.701389, 19.2347, 0.702153, 0
23.5849, 0.714972, 0.697292, 51.9264, 17.8681, 0.696667, 14.4547, 0.69625, 19.6036, 0.697014, 0
23.9217, 0.710386, 0.691667, 52.9571, 18.2333, 0.690833, 14.755, 0.692083, 19.9688, 0.691528, 0
24.2666, 0.706361, 0.687917, 53.6224, 18.5658, 0.687917, 14.755, 0.687917, 20.3016, 0.688542, 0
24.636, 0.703794, 0.685556, 54.2207, 18.7808, 0.685556, 14.755, 0.685556, 20.6849, 0.685486, 0
25.0092, 0.702919, 0.684514, 54.5533, 18.7808, 0.684514, 14.755, 0.684514, 21.0176, 0.684097, 0
25.3746, 0.701533, 0.683056, 54.9511, 18.7808, 0.683056, 14.755, 0.683056, 21.4153, 0.683056, 0
25.7112, 0.700347, 0.682153, 55.4216, 18.7808, 0.682014, 14.8888, 0.681806, 21.752, 0.681944, 0
26.0843, 0.695775, 0.677431, 56.0868, 18.7808, 0.677361, 15.2214, 0.677431, 22.0846, 0.676458, 0
26.4495, 0.691536, 0.672014, 56.9315, 18.8263, 0.671944, 15.623, 0.672083, 22.4821, 0.671319, 0
26.8027, 0.687817, 0.66875, 57.6692, 18.9238, 0.668611, 15.9305, 0.66875, 22.815, 0.668403, 0
27.1476, 0.684842, 0.665486, 58.5086, 19.0618, 0.665903, 16.2956, 0.665069, 23.1512, 0.665556, 0
27.4846, 0.682042, 0.662986, 59.1786, 19.0984, 0.662778, 16.5961, 0.6625, 23.4841, 0.663125, 0
27.858, 0.680008, 0.66, 59.8516, 19.1754, 0.659792, 16.9608, 0.659792, 23.7154, 0.66, 0
28.2154, 0.678558, 0.658681, 60.3227, 19.2445, 0.658681, 17.3627, 0.658681, 23.7154, 0.658681, 0
28.5886, 0.677578, 0.657708, 60.7326, 19.2892, 0.657431, 17.7279, 0.657708, 23.7154, 0.657708, 0
28.9497, 0.676436, 0.657361, 61.3371, 19.3623, 0.657222, 18.0605, 0.657153, 23.9143, 0.657153, 0
29.3066, 0.674883, 0.655972, 62.0673, 19.4272, 0.655972, 18.3932, 0.655833, 24.247, 0.655972, 0
29.6476, 0.673303, 0.654167, 62.9438, 19.565, 0.654167, 18.7625, 0.653542, 24.6163, 0.654167, 0
30.0168, 0.67165, 0.6525, 63.8523, 19.7758, 0.6525, 19.0626, 0.652014, 25.0138, 0.651944, 0
30.3779, 0.670556, 0.650903, 64.2582, 19.849, 0.651181, 19.0626, 0.651181, 25.3466, 0.650833, 0
30.7391, 0.669686, 0.650069, 64.5302, 19.8856, 0.650069, 19.0626, 0.650069, 25.582, 0.650069, 0
31.0962, 0.669475, 0.649792, 64.7657, 19.9872, 0.650069, 19.1966, 0.649792, 25.582, 0.650069, 0
31.4329, 0.668594, 0.649375, 65.2119, 20.1008, 0.649514, 19.5291, 0.649375, 25.582, 0.649514, 0
31.7736, 0.668533, 0.649375, 65.3515, 20.2063, 0.649375, 19.5632, 0.649375, 25.582, 0.649375, 0
32.1592, 0.668533, 0.649375, 65.4165, 20.2713, 0.649375, 19.5632, 0.649375, 25.582, 0.649375, 0
